threshold,CDC42,HOG1,KSS1,STE11,FUS3,BNI1,BEM1,RHO1,PBS2,CDC24,CLA4,SHO1,STE7,PTP2,BEM2,RGA1,ACT1,RDI1,STE5,STE50,RSR1,PTP3,STE12,SSK1,SLT2,SSK2,SLN1,STE4,STE20,GPA1,SPA2,GIC2,GIC1,RHO3,BUD6,BOI2,BEM3,SPT15,TAF6,TAF10,TAF9,TAF5,TAF12,SKO1,YPD1,PTC5,PTC6,PTC7,FAR1
800,0.0570770351488476,0.05650975505411333,0.05118746840957361,0.05032811551173783,0.04768598549386588,0.047166586852095724,0.04615434441677612,0.04393674984581201,0.043229995781213885,0.04283739039812016,0.04152073832909642,0.03778176996255711,0.03681380309229741,0.036614207845015435,0.035851813435840554,0.03527401903419452,0.03376409751186499,0.03370443391028781,0.03346539345072149,0.032753746246414965,0.032057532794606,0.03195838194699328,0.030978954917220546,0.030753771762053354,0.03059390884867991,,,,,,,,,,,,,,,,,,,,,,,,
801,0.053820329388121244,0.060143295907362004,0.049469279197097475,0.05075553303061407,0.047506822083215335,0.04644305382874476,0.0437542965197918,0.043822927046720334,0.046577411232930105,0.0406352580723428,0.04046850294285446,0.038994820811204305,0.036081503386300826,0.03915373033815054,0.03448482773676631,0.03355408743637197,0.03378510714338724,0.03202404098515231,0.03220416853218168,0.03477148343480523,,0.03421088248312058,,0.03375971354242033,0.03184896480394515,0.031124775608179996,0.030605184508219023,,,,,,,,,,,,,,,,,,,,,,
802,0.0542196355639843,0.05945737077655084,0.04907694207996633,0.05045333124474263,0.0471378662939917,0.04799561029843929,0.04540858661972756,0.042922443380920286,0.04623354240460842,0.042136286930311226,0.04050648236560667,0.03874651669127923,0.03585206619062655,0.03889208092621375,0.03361376633795205,0.03326148862517105,0.033358120294855284,0.03264874774155367,0.03201316118669798,0.034553739675784734,0.03167400314894882,0.033939432815482416,,0.03349816742062491,0.03152562218459619,0.03087498880136419,,,,,,,,,,,,,,,,,,,,,,,
803,0.05278563655132113,0.05976772327323761,0.04913670126821077,0.05077713156484139,0.04715172845550978,0.046741734772794225,0.04413127213011814,0.04327652551468106,0.04728892161274592,0.040962593388786946,0.03945448614606316,0.03989549988959723,0.03665215460138285,0.03910467125309886,0.032923652729472994,0.032340514811297114,0.0334270449527821,0.0317818208039079,0.032870453456065776,0.035640932390621646,,0.034814346403474,,0.03466303431350316,0.030999356271613016,0.031976317712401635,0.03143574573247156,,,,,,,,,,,,,,,,,,,,,,
804,0.055756513109472675,0.05845773156052307,0.04842240332529165,0.04974072482952409,0.04650740715393212,0.04861112803256012,0.04662938528787482,0.04378326408331566,0.04537823273297519,0.043245631047318454,0.04151104902296432,0.038174920526235036,0.035422640993377635,0.03758183154227161,0.032706780707371236,0.03402307356715195,0.03421860034645769,0.033540001284803105,0.03160972399348305,0.0340849678373989,0.0325727874515546,0.03339554025224321,,0.03297401750190706,0.031274733978208874,0.03037690983178383,,,,,,,,,,,,,,,,,,,,,,,
805,0.053879527719700906,0.059240773248832104,0.048693050770793285,0.050298447687633335,0.046729325934047085,0.04636805521655837,0.04520294720788014,0.043451438901548164,0.0468614624238912,0.04200023643382695,0.04039937516849292,0.03953254559289492,0.036321952381762605,0.038755183607860524,0.03197312327959963,0.033103834873872286,0.033687634786290645,0.03265540941210097,0.03256128236815419,0.0353035168468059,0.031320815352777254,0.034506755225350086,,0.0343364046981344,,0.031676935623892746,0.031139965237299373,,,,,,,,,,,,,,,,,,,,,,
806,0.052143215336306496,0.05899400416852074,0.0486593175618075,0.05032207419025532,0.046707289729518556,0.04662814855260934,0.045893533320233416,0.04447959292989559,0.04659399545542567,0.04276709979810618,0.040809585927357256,0.039419350503242696,0.03641542869843024,0.038642536783338545,0.032502738663001615,0.03378275013205293,0.03299257734123402,0.033127450480716684,0.03270225133255262,0.03522908670865436,0.031943349018669624,0.03426162803424878,,0.03257826815228638,,0.031397286335897,0.03100744084563831,,,,,,,,,,,,,,,,,,,,,,
807,0.05119773812070179,0.05962834812499532,0.0491740806574278,0.05086907427584805,0.0472012990658844,0.04649988231463637,0.04496846494950295,0.044655505661444404,0.04711913097204976,0.04190269414958599,0.04000523377007861,0.03985425551564844,0.03679777146235702,0.03908354315969076,0.032169119879320245,0.033138054150459346,0.03247063609674295,0.03265109794841198,0.03304332296561765,0.03562540533284819,0.031231948171712348,0.03464359127721175,,0.032953332325912854,,0.031751575662699025,0.03136489398921213,,,,,,,,,,,,,,,,,,,,,,
808,0.05198012240905106,0.0574528188921299,0.04894177093815937,0.05233562982765065,0.04710388490369665,0.04717469092607112,0.0456961353596829,0.044542373718125215,0.04657428425985485,0.04257149266988889,0.04057671089538513,0.039256746234556154,0.03752273101565207,0.03862814935007321,0.032568682750512355,0.033683555386068494,0.0330649094336771,0.0331758637853674,0.033608909170736216,0.03533389215635294,0.031817018430367335,0.034022971920082926,0.030510535237628693,0.030904416074434927,0.030951704254794377,,,,,,,,,,,,,,,,,,,,,,,,
809,0.053677724243618774,0.05459079489730367,0.04942243822424619,0.05247477366517113,0.04797412381246888,0.04750502682011423,0.04724966845715033,0.04403237780908277,0.04381090877251105,0.04399726081971082,0.040794352212650396,0.03882820320005678,0.03866610012577333,0.03644916187152767,0.03326350474509221,0.0347951448531938,0.032450994957657076,0.034221718696459937,0.035040014359714516,0.03401480998600765,0.033054641080774695,0.03207183764242619,0.03221488968573318,,,,,0.02992279295608017,0.029476736105474483,,,,,,,,,,,,,,,,,,,,
