threshold,SHM1,SHM2,MIS1,GCV1,ADE3,MET12,DFR1,CDC21,MTD1,MET13,MET7,YND1,GUA1,GCV3,ADE12,ADE8,RMA1,ADE13,HPT1,GCV2,AMD1,HAM1,APT2,APT1,FAU1,ADE17,FMT1,FOL3,"ADE5,7",IMD3,IMD4,IMD2,URA8,URA7,IMD1,ADE16,ADE4,PDE1,ADO1,PDA1,PDB1,PDX1,KGD2,AIM22,IRC15,MAE1,PYC1,PYC2,PTC6,PTC5,PKP1,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,HSP78,SIS1,BTN2,CUR1,HSP26,YJL144W,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1,CIT3,IDH1,IDH2,ACO1,CIT1,FUM1,ICL2,CYT1,NCE103,SIP5,TDH3,TDH1,MDH3,IDP3,ATP18,ATP15,ATP6,ATP2,ATP16,ATP4,MDH2,CIT2,IDP1,TOM40,TOM22,TOM70,ADE1,SGS1,MCM4,MCM5,MCM3,MCM7,RAD51,RAD52
800,0.05890162675443757,0.05622419627289326,0.04941525696233028,0.04876433222573794,0.04777672255550559,0.04709075782516846,0.047004352624485934,0.045738298635586476,0.045555208451531444,0.04456780006782842,0.037903498074972966,0.03638764340634289,0.03602489675360012,0.035964888970130476,0.035883458783892555,0.03582261543582312,0.03465930622390263,0.03378237139186355,0.03290147133209586,0.03272126475780713,0.032351858034836714,0.03217441714256758,0.03136543493098733,0.0311004870531497,0.029917835332521903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.05884058072395885,0.0580012436663751,0.04951079851751113,0.04923235022422693,0.04951079851751113,0.047029793314668736,0.04517060911496947,0.04566344945767163,0.04775753984593275,0.04465918326075176,0.035861302919746915,0.037017622835756325,0.03374060595144406,0.03605430947758798,0.03538723960776144,0.03786929597619198,0.03261528080461053,0.03364225693731958,0.032466577618022456,0.032891775205124804,0.033178278790026716,0.03126399799323451,0.03205799380191209,0.03178148741786096,,0.02879562801982229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.058387696276758785,0.05755950666762862,0.04907116020422261,0.04887376897000396,0.04907116020422261,0.04668447035804578,0.04483143947337189,0.04525902854321204,0.04741084623936756,0.04433715020872716,0.03554025324257144,0.037566414434054396,0.034240815301725534,0.0362194792069245,0.035911860539523194,0.03753196894222946,0.03232015125453142,0.034141008249279896,0.03294789931448353,0.03268784144020195,0.03367015155902499,0.031727491273287105,0.032533258184361494,0.03225265255328102,,0.029222527358958954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,0.06225824589781808,0.061375155184821964,0.05232411198421941,0.052113635586250075,0.05232411198421941,0.04977920727311763,0.04780333804328129,0.048259272206656094,0.05055373497531055,0.04727628209579132,0.0378962344251197,0.031644614744953545,0.028843248020869825,0.03862048661873993,0.030250877244157103,0.04001998195576534,0.03446267026397898,0.02875917410082574,0.0277541414630511,0.03485473481616105,0.02836254112992146,,0.027404862485597523,,0.030191106364103455,,0.028837142846926525,0.028031088288342876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,0.05953651001135345,0.05869202526371829,0.05003666537757104,0.049835390349755114,0.05003666537757104,0.04760301594486574,0.04571352554103474,0.04614952768807298,0.048343683717153474,0.045209510831950586,0.03623952952267176,0.035996160764232406,0.0328095696879176,0.036932119674456414,0.034410766233562415,0.03827043345027988,0.03295607005306368,0.03271393451060931,0.031570696816163826,0.03333099476864908,0.032262759348575074,0.030401301101649073,0.031173387437449056,0.03090451095402918,0.028871245573645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,0.062272368564511904,0.06138907753113059,0.052335981190987875,0.05212545704853149,0.052335981190987875,0.04979049919344822,0.047814181757239206,0.04827021934476499,0.050565202589582164,0.04728700625232567,0.03790483081070716,0.031616435477888845,0.028817563347646773,0.038629247293767065,0.030223939088781376,0.04002906009245396,0.03447048777953052,0.02873356429473143,0.027729426630188004,0.034862641267674604,0.028337284522199253,,0.027380458682767967,,0.030197954917674942,,0.028843684267279065,0.028037446863199148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,0.05917795515023755,0.05663555233664505,0.050025789261328134,0.04778952020979951,0.0484553980735745,0.04598170043851091,0.04591535002208338,0.04477716093836597,0.04635579373145228,0.043556080753792435,0.03694482291820774,0.03777085046530499,0.03442715345756306,0.035450118189114636,0.03610729250592535,0.03695847062148381,0.03382098124658853,0.03432680325619037,0.033127201435150966,0.031921089137171836,0.0338533841687918,0.031900151946262306,0.03271030383237077,0.03242817114840465,0.02958290475567948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,0.06305817220329561,0.06034906753716362,0.0533059113961957,0.05092301326147321,0.05163255182010855,0.04899665723647998,0.04892595631458726,0.047713137739515646,0.04939527931165151,0.04641199300821512,0.03936724409760642,0.031287399188610676,0.028556648564244107,0.03777453363708191,0.029995304743948088,0.03938178666199845,0.036038576427953,0.029118336849236155,0.028149375869335164,0.034014111008370165,0.028113266950821034,,0.027796160141118128,,0.031522615095797894,,0.02839920631216148,0.029773694623031127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,0.06244374718507334,0.059615198669866226,0.05232450306199802,0.051721102826105696,0.05059149190433719,0.0499408483363877,0.04983582498456534,0.04843223587543592,0.04832340458300293,0.04727212604306552,0.04012935366094691,0.03045744851241535,0.02861156295320321,0.038601682954694704,0.03009482958655782,0.03793309622318161,0.03669097912494341,0.02922342009613849,0.027521117657391927,0.03474305170595148,0.027419430681256848,,0.02715883572432102,,0.03171161182487463,,0.028588960766144436,0.0306141350581403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,0.06335786497714374,0.060627095696410824,0.053618837976551675,0.05114014340939122,0.05193393554264699,0.04920969032228992,0.04915113604422671,0.04799083097084103,0.04960469378945222,0.04660744981715428,0.03960213204960897,0.028611956293456753,,0.03750035445643861,0.024970040893196953,0.03961245400373566,0.0362570562874995,0.02956806298426314,0.025475503075158633,0.034123255790065164,0.02871341787436601,,0.03122941310743951,0.03090374248777818,0.031676762049432254,,0.028565505400186996,0.029948664701265088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
