threshold,PTC6,PKP1,UTH1,CDC42,HOG1,KSS1,STE11,BNI1,BEM1,ACT1,ARP4,YAF9,RHO1,PDA1,PDB1,PDX1,IRC15,MAE1,PGI1,TAL1,TKL1,RPS8B,RPS8A,RPS20,YTM1,NOP7,RPF2,RPS13,AIM22,MLS1,ACS1,ACS2,RPS3,RPS5,RPL5,PWP2,NOP14,FUS3,KGD2,LPD1,NQM1,TKL2,TPI1,ASC1,KGD1,HSP104,BTN2,HSP78,SOL4,PGM2,TFS1,SIS1,MDH1,HSP82,HSC82,AHA1,PBS2,RPO21,RPO26,RPB3,SPT15,TAF6,TAF10,PTC7,PTC1,SWC4,IDH1,ACO1,ATP6,ATP4,ATP18,CYT1,QCR2,RIP1,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,GPM1,RPS15,IDH2,TIM8,RPT1,PYC2,CLA4,STE7
800,0.3324478721950141,0.28412224448469603,0.1531959576643307,0.034956302495522326,0.03359224551620625,0.03042841018370838,0.02991756752474588,0.028886740059000316,0.028266801537744614,0.020673447254651752,0.011943576743390721,0.011568834340988902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.33287211453596505,0.28448481767645845,0.153391453611634,0.03330612031288243,0.03616316379476185,0.029745055029391204,0.030518458072263145,0.028740774278116037,,0.020902600121891657,0.01157895076326607,0.011177154235680099,0.027119337567690183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.3317730846865106,0.2835455461283479,0.15288500750573117,0.03383515677750081,0.03604661526240185,0.029753378366831822,0.03058782782240036,0.029951123466389302,0.02833672029222887,0.020812509854801722,0.011441461049268464,0.01103156878758705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,0.4661465661133477,,0.32961548285832554,0.030503922516969574,0.02993555838777884,0.024610851965579477,0.025432486022164927,0.027011254367119535,0.025502712358571145,0.01911621541554784,0.011235371926338144,0.010889578068257317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,0.4648904906746913,,0.3287273031691105,0.03172922944092615,0.02965688289538849,0.02456574188898608,0.025234555156723227,0.02766302174777306,0.02653527600593386,0.019240258279380553,0.011057650633054627,0.010699590108032293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,0.2349500356341474,0.19458993406341651,0.1680727015548705,0.1680727015548705,0.12080398427685272,0.032067343305269155,0.03119184592716607,0.030997214365780464,0.0038458178194222177,0.0038417334278002457,0.0038397081383497226,0.0025902228294800494,0.002583242165512716,0.0025535149370616034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,0.10369780358499281,,,,,,,,,,,,0.23454285714785256,0.18587881598470016,0.18587881598470016,0.18587881598470016,,0.029401010901896545,0.028598309296305118,0.02841986094142655,0.0035319642822207974,0.0035319642822207965,0.003529693114849125,0.002383441325940754,0.0023772621749764172,0.0023493849932181075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,0.23490297487750839,0.19455095748055862,0.16803903640353657,0.16803903640353657,0.12077978710280365,0.03214960914314885,0.031271865756554024,0.031076734885689513,0.0038597545491432105,0.0038597545491432105,0.0038572707707823137,0.002551877654600768,0.0025456663068697976,0.0025156741161244745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,,,,,,,,,,,,0.23524716642055635,0.19483602323714005,0.16828525557237503,0.16828525557237503,0.12095675966483099,0.03146937230726531,0.0306249730860606,0.030434445334801184,0.003955488631014881,0.003955488631014882,,0.002680240821182434,0.0026812070358167685,0.0026417696815585093,0.003946554004007899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,0.21448411803181885,0.186891899190792,0.1674214951516514,0.1398296598233014,,0.02803882689140294,0.02727077575211145,0.027099467845248658,0.0030577885545644314,0.0030577885545644314,,,,,0.0030508808850944935,0.1398296598233014,0.020642357725571686,0.02016485280001917,0.01916042897055769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
