threshold,PYC1,MAE1,KGD1,IDH1,IDH2,GDH2,IDP1,GDH3,GDH1,AAT2,AAT1,MDH3,MDH1,MDH2,IDP3,NIT3,GLT1,ALT2,ALT1,FUM1,UGA2,NIT1,RIP1,CYT1,QCR2,PCK1,FDH1,ERT1,MLS1,ACS1,DAL7,ACS2,LAT1,CIT1,CIT3,CIT2,LSC1,ACC1,LSC2,HFA1,ICL1,ACH1,LYS20,LYS21,ACO2,QCR7,QCR9,QCR8,SDH2,SDH1,SDH3,SDH4,YJL045W,SDH5,SHH3,SHH4,KGD2,LEU9,PDA1,PDB1,PDX1,AIM22,IRC15,ILV2,HSP82,HSC82,AHA1,STI1,SBA1,HSP104,PGI1,TAL1,PKP2,PKP1,CPR6,TKL1,NQM1,TKL2,TPI1,FES1,PGK1,ZWF1,FBA1,ENO2,GPM1,ENO1,CDC19,PFK1,ERR3,PYK2,LPD1,PTC6,PTC5,ACO1,YMR31,SIS1,BTN2,HSP78,YJL144W,HSP26,CUR1,MBF1,ICL2,TDH3,TDH2,ATP2,ATP18,ATP6,ATP16,ATP15,ATP4,TOM40,TOM22,TOM70,PTC7,TIM8,TOM7,TIM54,TOM20,TIM22
800,0.25367864560653086,0.25367864560653086,0.027980108939226908,0.027980108939226908,0.027980108939226905,0.027108691416191696,0.026209540337764164,0.026119677852704797,0.026119677852704797,0.02600800222541689,0.02600800222541689,0.023819752716169984,0.023819752716169984,0.023661658502915156,0.02361121837492627,0.02312794830022985,0.020561935665241577,0.01966364146641808,0.01966364146641808,0.01872644723273201,0.016254726283749178,0.009842713155640481,0.009532470085179719,0.009510835270990566,0.00933204882227728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.127354582005611,0.127354582005611,0.026304862993488366,0.02772371914013296,0.02772371914013296,0.02736863699796996,0.025884532971545048,0.02637225479066658,0.02637225479066658,0.025050153590810954,0.02505015359081095,0.023368997483635294,0.02336899748363529,0.023273583774375644,0.024388260347189685,0.022250395277194468,0.020733012987042044,0.01916681676696117,0.01916681676696117,,0.01562504088637097,,0.010935189130109369,0.010861144495854331,,0.1338975360386323,0.127354582005611,0.03305017453898097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.12753959369307377,0.12753959369307377,0.026255995085440915,0.027672215349445715,0.027672215349445715,0.027317792861791344,0.02583644593237599,0.026323261685382845,0.026323261685382845,0.025003616621485047,0.025003616621485047,0.023325583685187685,0.023325583685187685,0.023230347230923504,0.024342953011265572,0.022209059564071973,0.020694496193685314,0.01913120957753913,0.01913120957753913,,0.015596013437664554,,0.010935245494182408,0.010860855922350112,,0.13409205286479978,0.12753959369307377,0.03309818748414636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,0.04022637347360794,,,,,,,,,,,,,,,,,,,,,,0.019276649548180105,0.01934333152229274,0.01895452000158655,0.039240667423120955,,,0.0595198596711635,0.05771993253711147,0.05684199539182658,0.05504206825777458,0.05234049878033605,0.051943849243120344,0.051610897628363434,0.049393487632626076,0.04936843788437466,0.04766206242543372,0.04666686840693613,0.04520372821766197,0.044206440299893776,0.04173268924928928,0.03731985726036802,0.03731985726036802,0.02394197777031529,0.018463415954457933,0.018398067912061587,0.018262466247729404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,0.041057363433695364,0.03165581723093709,,,,,,,,,,,,,,,,,,,,,0.019600433197980105,0.019538192651917082,0.019269793441941612,0.04013567442925891,,,0.059397151067794966,0.05565468111333936,0.05687363496153276,0.05313116500707716,0.05056008398450269,0.05214251954566311,0.051737738033066666,0.04964085747518845,0.04925203002703446,0.045865938405537925,0.0447867557532159,0.043409184180896065,0.04296798136183437,0.04180827654926893,0.035600530175913594,0.035600530175913594,0.023022243349339895,0.018678772565322136,0.018612651881827875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,0.04140058781408755,0.04140058781408755,0.04140058781408755,0.04077872893461692,0.040340605144568144,0.03919267850328759,0.03919267850328759,0.039116429495773805,0.039116429495773805,0.03652208666928023,0.03652208666928023,0.03626375533836859,0.03621027313197049,,,,,,,,,,,,,,0.04828958617989552,0.04703106486118696,,0.044492660739497904,0.04216237007276343,0.041994694980258686,0.04168709091282594,0.03981669361958424,0.03982605468500308,0.03820997862383766,0.03749576401826861,0.03612822626745442,0.03540829971095348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,0.04134255901277532,0.03177153399444242,,,,,,,,,,,,,,,,,,,,,0.019241526032719492,0.01926557185120901,0.019019757359012585,0.04039489484897725,,,0.05669895545529306,0.05619450038376065,0.053983358834706334,0.053642802270873466,0.051029958218937396,0.05264954838533888,0.05222079940164353,0.05010723346268565,0.049714814232715815,0.046265404178641084,0.04518447787499015,0.043770276932884204,0.04329302699900911,0.042124882839855486,0.03583123096872481,0.03583123096872481,0.023432588317605148,0.018527664438554907,0.01846140273591917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,0.04169218665427497,0.04169218665427497,0.04169218665427497,0.04104695225091837,0.03846126000129765,0.039444614793069384,0.039444614793069384,0.039376627852578575,0.03937662785257857,0.036903557203321107,0.036903557203321107,0.03662109490628565,0.033976358567180905,,,,,,,,,,,,,,0.048313443065611056,0.047051050395310504,,0.04470944336208875,0.042379304870077336,0.042185116837536965,0.040995858419402544,0.039988536172062016,0.040017381485638666,0.038405525578553236,0.037687242993627246,0.03631144358821284,0.035323827845433246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,0.041933730459211,0.041933730459211,0.041933730459211,0.04113024676767767,0.03864813804637325,0.039512876295083196,0.0395128762950832,0.03946169570408448,0.03946169570408449,0.037066950425127226,0.037066950425127226,0.03667014770702494,,,,,,,,,,,,,,,0.04822167161961069,0.04696167686577857,,0.04462451771806793,0.042298805327059145,0.04210498615493135,0.04091798673466118,0.039912577897199174,0.03994136841906632,0.038332574234308095,0.03761565602805754,0.036242469955347856,0.03525673018991653,0.03323621010869696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,0.04124254277484161,0.04124254277484161,0.04124254277484161,0.03999296944021059,0.03536166985440159,0.038472459510373,0.038472459510373,0.038444718456375544,0.038444718456375544,0.03645321162682488,0.03645321162682488,0.03617972690515,,,,,,,,,,,,,,,0.04919736798945835,0.04805932039569516,,0.04566545582788068,0.04328418782496285,0.043078682766147146,0.04185883212588789,0.04082818076652466,0.040943061973554025,0.039246503657124995,0.03856179397063618,0.037151780909511815,0.036050734175748965,0.03407132390543342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
