threshold,PDA1,PDB1,KGD2,PDX1,LPD1,IRC15,PYC1,PYC2,MAE1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO1,ENO2,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,SIS1,BTN2,HSP78,CUR1,YJL144W,HSP26,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
824,0.10839539186638503,0.09754486738262923,0.07719713771701105,0.07719713771701105,0.06915127257450406,0.05801728691575364,0.048907695934449616,0.048907695934449616,0.048907695934449616,0.02647407982881995,0.02588290831051938,0.02588290831051938,0.023461327290963594,0.022879430779821894,0.02286647307607147,0.022794222057145586,0.022715388014815704,0.02266097591342115,0.022237439126676445,0.022063845350214276,0.021749997631646232,0.021436826293622965,0.021285195811235152,0.021285195811235152,0.020097604416628907,,,,,,,,,,,,,,,,,,,,,
825,0.10890569331255873,0.09800408696784492,0.07756056470721022,0.07756056470721022,0.06947682141742001,0.05829041942541492,0.04913794251167623,0.04913794251167623,0.04913794251167623,0.02659871392064018,0.026004759298044015,0.026004759298044015,0.023157617231318196,0.022772965309998262,0.022574337213965498,0.02268824979009557,0.022425358565139875,0.022371183014282415,0.0219482596235163,0.021763398530739088,0.021466901676521922,0.021158278580154788,0.021008058501866836,0.021008058501866836,0.019837122871118402,,,,,,,,,,,,,,,,,,,,,
826,0.10989371986734348,0.10029630345653165,0.07936772339055405,0.07936772339055405,0.07107924844989674,0.059596985830930704,0.05016091144462538,0.05016091144462538,0.05016091144462538,0.022355280517878093,0.021771877829347565,0.024880975271897237,0.022991607949543764,0.022614014326025826,0.022449330140805857,0.02253332991118085,0.02230682072854319,0.021650979458377274,0.021838063765750756,0.021615235211223792,0.020775142835130267,0.021091071338250233,0.020311633509940114,0.02091053337800834,0.019819665108409986,,,,,,,,,,,,,,,,,,,,,
827,0.11443675813197529,0.10444258174208046,0.08264880810381389,0.08264880810381389,0.07401768520423496,0.062060742517058634,0.05223457807777626,0.05223457807777626,0.05223457807777626,0.023279454300801226,0.022671933575854397,0.02590956200877387,0.02071437487108086,0.019636896547010146,0.019788146409982357,0.0197543982905827,0.019673940632998554,0.019687804851485753,0.01929057615215722,0.019110812952499404,0.01921502514689413,0.018966880826195916,0.01880069827041126,0.01880069827041126,0.017739678856554943,,,,,,,,,,,,,,,,,,,,,
828,0.11096188019226967,0.10127117747315746,0.08013917287199704,0.08013917287199707,0.07177013445513344,0.06017626493647589,0.050648472476611216,0.050648472476611216,0.050648472476611216,0.02257257249535067,0.0219834991678965,0.02512281684995094,0.02242625673957378,0.02183284674170567,0.021845086151038553,0.021929072585910463,0.021707878956632978,0.021113414577559317,0.021446872127197567,0.021044825988696888,0.020427820567404293,0.020569370651020227,0.019840587572203434,0.020425718102473744,0.019308140494520697,,,,,,,,,,,,,,,,,,,,,
829,0.11178153779742682,0.09958793797444522,0.07881907921867473,0.07881907921867473,0.07061585035612304,0.0592729910916828,0.05002192605474299,0.05002192605474299,0.05002192605474299,0.022571644940802476,0.021989239178120772,0.025113128768088865,0.023005982124062158,0.0223926967648189,0.0224079276866333,0.022491167019600276,0.022267637519404946,0.02165908084991734,0.02217785573384437,0.021590645220918973,0.02115291731291873,0.021105135065940292,0.02035931180971168,0.02095820707942863,0.019795169104531884,,,,,,,,,,,,,,,,,,,,,
830,0.11733400136112522,0.10239990985980968,0.09681061217481944,0.09681061217481944,0.08629628374707146,0.07139181707182538,,,0.037950970414823884,0.026075785196700518,0.02529788256688007,0.02913829736511404,0.02217420886765539,0.02161657914615674,0.021580101014425108,0.021493474117458944,0.021446357230743222,0.020904069453853046,0.021370929928005707,0.020766213202185496,0.02038402026350251,0.020367852001619873,0.019614567571018048,0.020193431935683268,0.019068556608552917,0.020888317173991814,0.018625149552158785,,,,,,,,,,,,,,,,,,,
831,0.1174743164259756,0.10252236583869027,0.09692638413493279,0.09692638413493279,0.08639948204006287,0.07147719170599805,,,0.03799635447070811,0.026106968190960124,0.02532813529832852,0.029173142695853534,0.022109162759651774,0.02155316879631284,0.02151679766999956,0.021430424885481317,0.021383446212043928,0.020842749189056865,0.021308240168721328,0.020705297326681773,0.02032422551765514,0.020308104683958786,0.0195570299475437,0.020134196264075248,0.019012620660621878,0.020913296681593058,0.018570514300160216,,,,,,,,,,,,,,,,,,,
832,0.11419290629296373,0.10063449117470423,0.0882115946516935,0.0882115946516935,0.07879550823053397,0.06558675241408396,,0.04326504665981119,0.04326504665981119,0.024388479058921046,0.02370309642524505,0.027204517616284094,0.023163560306771656,0.022588586135308817,0.022543075342089,0.02245993724517511,0.022403371431397607,0.021836916479056563,0.022324293427069066,0.021692134862402967,0.021293350532438037,0.02127649391863112,0.020489594003841302,0.021094272510405687,0.019919267999831406,,0.019456111969836282,,,,,,,,,,,,,,,,,,,
833,0.11269593513052317,0.09931525921778278,0.08705521622440568,0.08705521622440568,0.07776256662864198,0.0647269662838481,,0.04269787896705432,0.04269787896705432,0.02406876699420376,0.02339236913962795,0.026847889698826552,0.024029883802427827,0.023095061352624482,0.022919589238791657,0.02295343627535295,0.022809580854875448,0.022879854664734595,0.022349921527171534,0.02208788738539552,0.022266976277655177,0.022016089523992907,0.021857537014735594,0.021857537014735594,0.02053566119385402,,0.02002504039727842,,,,,,,,,,,,,,,,,,,
