threshold,PDA1,PDB1,PDX1,KGD2,AIM22,IRC15,MAE1,PYC2,PYC1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,BTN2,SIS1,HSP78,YJL144W,CUR1,HSP26,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
842,0.10716278497469217,0.09655244235091004,0.09071983544843454,0.09071983544843454,0.07221691631709456,0.05944236394755251,0.04362474414648984,,,0.020046477531592784,0.020046477531592784,0.02272672015653476,0.02305408421583018,0.022047215624870643,0.020316152477969134,0.02190983400900902,0.02192336079739813,0.021164793304259147,0.021876340937193196,0.020670267509220137,0.021840089173606147,0.021122927179667808,0.02140134989442975,0.020971230195250493,0.020224461626041114,,0.01926960115512947,0.07894969404679711,,,,,,,,,,,,,,,,,,
843,0.1072699280373609,0.0966489770236891,0.09081053858774775,0.09081053858774775,0.07228911994256525,0.05950179537169023,0.04366836086191115,,,0.02006652031975812,0.02006652031975812,0.02274944269405151,0.022972801904907386,0.02215037989414686,0.020249320928898744,0.022012571657892593,0.021849045520405574,0.02109390521256377,0.021797154283637588,0.020581778058813685,0.021760989661942398,0.021047567186786534,0.02132369021359071,0.02089585471061124,0.0201521874560074,,0.019202382352622765,0.07902862921089286,,,,,,,,,,,,,,,,,,
844,0.10287631083536421,0.09338226972190643,0.0827834551706445,0.08597717126230431,0.06623202974413475,0.05445945560207951,0.045559563550015864,0.03607841731505905,,,,0.020857453799492453,0.02435057359723358,0.023489311811333784,0.021466012585341032,0.023342528930123556,0.023161809296090775,0.02236052874441883,0.023047436466799194,0.021758228658839893,0.022605196734856694,0.022250586094597152,0.02254388064494252,0.02214207723503564,0.02129937247668649,,0.020346953531814035,0.07302937137198964,0.024600004818896126,,,,,,,,,,,,,,,,,
845,0.10319920766665472,0.09367536770284178,0.08304328676006321,0.08624702693596227,0.06643991154277883,0.054630386941908186,0.04570256088911002,0.03619165627682211,,,,0.020922918877759333,0.02414774552573346,0.023631089921137813,0.021249259035259038,0.02347242081979696,0.02297538449654698,0.02213375666649466,0.022839783622336973,0.021550493007737214,0.022401951644460794,0.02205142013753803,0.022339831635407474,0.021942818964770586,0.02110851798736646,,0.020167398419781043,0.07325858791771991,0.02467721660401219,,,,,,,,,,,,,,,,,
846,0.10070155956142725,0.09200730402459997,0.07507475473819364,0.07779756633981831,0.06025739469095885,0.04992815600031942,0.049774254935134966,0.04125970077280019,0.04309731220760433,,,,0.024849892721796482,0.02431821425373268,0.021867126555608886,0.02415493150990957,0.02364344279563453,0.022777342841657843,0.02350389903683893,0.02217711954821625,0.023053336160532303,0.022692612202539722,0.02298940987974526,0.022580853219082788,0.02172229316161952,,0.020753808535675496,0.06744863666010828,0.0215690776464445,,,,,,,,,,,,,,,,,
847,0.10083440007007242,0.09212867550205206,0.07517378963546104,0.07790019303526323,0.060336883260899976,0.04999401875028758,0.04983991466644215,0.04131412852606514,0.043154164046839305,,,,0.02478057956672541,0.024250384095490504,0.02180613315210102,0.024087556791949162,0.023577494759751443,0.022713810595697444,0.023438340226708283,0.022115261489371322,0.022989034093634488,0.02262931629353233,0.022925286120748525,0.022517869036481532,0.02166170373810503,,0.020695920480968258,0.06753761156020291,0.021597530505149367,,,,,,,,,,,,,,,,,
848,0.10982216034070175,0.09724177388201329,0.08557906578794124,0.08957829190628992,0.07659647537101343,0.06325787681473662,0.04106576068000844,0.04106576068000844,,0.02241167999822622,0.02241167999822622,0.025594177347609798,0.02459182138855338,0.024065664512580374,0.021640031872843843,0.023904077494202272,0.023397900697202267,0.022540795372391467,0.02325980612952718,0.0219468055233883,0.022813922442925717,0.022456944678681902,0.022750660049934757,0.022346346335642444,0.021496702603942795,,,,0.028163818091408038,,,,,,,,,,,,,,,,,
849,0.10633758347396008,0.09518909613577532,0.07535643134811425,0.0786030574765528,0.06763569195928905,0.05639150843830864,0.04742437185231694,0.04742437185231694,0.05000613770072284,,,0.02339799462484557,0.025433660136007456,0.024892712616353743,0.022386679178024442,0.024725283844441545,0.024199182608994032,0.023312516443316524,0.02406115148100154,0.022696269037569737,0.023459349460418333,0.02322407876254959,0.02352752292951053,0.023108698114163533,0.022243008257174592,,0.021250521493183294,,0.02371312077508872,,,,,,,,,,,,,,,,,
850,0.10712957428368114,0.09589805421872491,0.07591767789078842,0.07918848453915532,0.06813943527083423,0.05681150628827283,0.04777758343976127,0.04777758343976127,0.0503785780007069,,,0.02357226035576957,0.025104049437746877,0.025081886708390826,0.022085854360163935,0.02490818069136184,0.02388090860240855,0.023094845076310096,0.023709804605268465,0.022348341712948232,0.02327444096754591,0.02289338990651174,0.022370003384449257,0.021954998922350377,0.02190843155380927,,0.02090439281181437,,0.02388973353146451,,,,,,,,,,,,,,,,,
851,0.10725595486214354,0.09601118499187153,0.07600723784761186,0.07928190306107642,0.06821981924793122,0.05687852672661621,0.04783394657452612,0.04783394657452612,0.05043800952437732,,,0.023600068511634546,0.025044531021518067,0.024997388861846156,0.02203277858736171,0.024835806847243465,0.023823843173247528,0.023039410201970627,0.023654807795457068,0.022296986770812897,0.023220401219910817,0.022840200016869216,0.02231812741002115,0.021904003797081958,0.021857535607989746,,0.020855664556454323,,0.023917916209900476,,,,,,,,,,,,,,,,,
852,0.1073309951232695,0.09607835799314746,0.07606041534235215,0.07933737163357586,0.06826754837455089,0.05691832106254387,0.04786741298528392,0.04786741298528392,0.050473297834571815,,,0.023616579998628245,0.025007573424483197,0.024961773477891035,0.02200029999580976,0.024800420398407335,0.023788707294914765,0.023005439070460015,0.023619875201903267,0.02226397477175249,0.023186116954319595,0.02280647817361378,0.0222851702552966,0.021871662971065298,0.021825263850562455,,0.02082488075132971,,0.023934650074983178,,,,,,,,,,,,,,,,,
