threshold,MLS1,ACS1,DAL7,ACS2,LSC1,LSC2,CIT1,CIT3,HFA1,ACC1,CIT2,ACH1,ICL1,LYS21,LYS20,PCK1,ACO2,RIP1,CYT1,QCR2,QCR9,QCR7,QCR8,COB,COR1,ADY2,PYC1,PYC2,MAE1,IDH1,IDH2,KGD1,GDH2,IDP1,GDH3,GDH1,AAT1,AAT2,MDH1,MDH3,MDH2,IDP3,SDH2,SDH1,SDH3,SDH4,YJL045W,SDH5,SHH4,SHH3,FUM1,KGD2,LEU9,UGA2,QCR6,PGI1,PGM2,SOL4,TKL1,NQM1,TPI1,TKL2,FBA1,GPM1,TFS1,GAD1,JEN1,DCS2,ENO2,ZWF1,PGK1,TAL1,ENO1,CDC19,HSP104,SIS1,HSP78,BTN2,CUR1,HSP26,YJL144W,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,LEU4,ACO1,TOM40,YMR31,TOM22,MSC1,TSL1,RTC3,GLC3,MBF1
815,0.042519828652342204,0.044142055112774706,0.03941247471364703,0.040843616355312404,0.034907172774288064,0.0349312884977165,0.036625830865340075,0.036188751480272584,0.031857005350886675,0.03568546419247226,0.035765640931127246,0.03152458357482138,0.03145074934037619,,,,,,,,,,,,,,0.029547113006089837,,,,,,,,,,,,,,,,0.05500421366041258,0.053855312535270206,0.05109426122634308,0.05204896643831636,0.04928791512938922,0.03793755167967848,0.041380172107206535,0.041380172107206535,0.04525543687824548,0.03645868297322606,0.030895740417238256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,0.042903529492132005,0.04454315233503658,0.03988256159707277,0.04132685348052192,0.03320999985209513,0.03526972479288515,0.03703811859551183,0.036021851709239154,0.032266778588240515,0.0340587919187973,0.03615302011303923,0.031843700473135984,0.0318921419670019,,,,,,,,,,,,,,0.029957622400509656,,,,,,,,,,,,,,,,0.05485181272637733,0.05370609487744115,0.05095269365148763,0.05190475364855189,0.049151352422598354,0.037832437581571586,0.04126551949316114,0.04126551949316114,0.04513004701460706,0.03635766639705758,0.031214255378765977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,0.0478949694934479,0.04735936369760187,,0.04338562042826422,0.03455949014567331,0.036826596142883056,0.03877512908252005,0.037558825367692665,0.03341491196948405,0.0353814000013456,0.037929955900690565,0.03292500409606351,0.03324757190316081,,0.029539324997592407,,,,,,,,,,,,0.030834343949824667,,,,,,,,,,,,,,,,0.05316736481339475,0.05205683088899238,0.04938798404179379,0.05031080716599318,0.047641960318794585,0.0366706387756649,0.0399982939497659,0.0399982939497659,0.04374414544220553,0.035241156436138996,0.032150017041245364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,0.041850352797299616,0.04344899494346123,0.038892358693139686,0.04030135384739895,,0.03439584057122044,0.03611925523781792,0.03511843215779159,,,0.03524639413154813,,,,,,,,,,,,,,,,,,,0.03393050049289372,0.03393050049289372,0.03530774322764522,0.035414270179708406,,0.03415233158682655,0.03415233158682654,0.03402954417814873,0.03402954417814873,,,,,0.05599432753428065,0.054569312854331385,0.051798812924403276,0.04944854430682387,0.04944854430682387,0.042980614543081386,0.04027299625831168,0.04027299625831168,,0.034894102710863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,0.04288443265181256,0.04452257562717693,0.03985334950757465,0.04129715950583732,0.03318860850034571,0.03524572697447278,0.03701172547295173,0.03598617306770324,0.03224590120320543,0.034035662207408654,0.03611729685230152,0.0319895197995423,0.03188215108635948,,,,,,,,,,,,,,0.029928282601197818,,,,,,,,,,,,,,,,0.05473767509216602,0.053667220164597546,0.051549353401401446,0.04970552808014277,0.04970552808014277,0.037339264906615585,0.04174799496065628,0.04174799496065628,0.04569360883259515,0.03672245890140037,0.03119480756173568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,0.042726709900683196,0.04436809551518446,0.03984272691499575,0.041281298438459214,0.033167540573782406,0.035261754317723305,0.03698757903222648,0.03595759066239771,0.032261074015194485,0.034051016058512185,0.036089843953452015,0.03197291288482601,0.031330476279845594,,,,,,,,,,,,,,0.029898794847504927,,,,,,,,,,,,,,,,0.053777169407899963,0.05277063588435298,0.050774236025713515,0.04902932592752886,0.04902932592752886,0.03595940655980219,0.04522625938343252,0.0409006479296013,0.04522625938343251,,0.03120867224631839,0.0409006479296013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,0.04789214805418834,0.05014662847445496,0.04406242132579556,0.04606429485559282,0.03836604477003042,0.0412560019781516,0.04016245926984391,,0.03757636323234966,0.039600440975622944,0.03891383888754688,0.03990187515256857,0.032667665194335505,0.03612155097009553,0.03612155097009553,,,,,,,,,,,,0.031173027869585875,,,,,,,,,,,,,,,,0.045988338675689494,0.04360670179134282,0.04190343773738645,0.04190343773738645,0.04190343773738645,,0.038801209603119106,0.03505440666253625,0.038801209603119106,,0.03695710180923934,0.03505440666253625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,0.04723739146991425,0.049864846127028024,0.04340473322717881,0.04595489832930662,0.03818981951007506,0.03880264879967072,0.03996231973979095,,0.03745127276153177,0.0394898603956882,0.035618952271524805,0.03996263411908912,0.03197799619537826,0.03618159290273744,0.03618159290273743,,,,,,,,,,,,0.031081561180799074,,,,,,,,,,,,,,,,0.04799365087164273,0.04499068525938772,0.042831369081990325,0.042831369081990325,0.042831369081990325,0.033059457367526364,0.039020856068950845,0.039020856068950845,0.039020856068950845,,0.03703741111616908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,0.04839226868309819,0.050541657661655755,0.04424452113714843,0.04631599399815364,0.04042097930015486,0.04122774019492993,0.039895383136480736,,0.0395694413289481,0.0395694413289481,0.035133448098453555,0.042368541921993234,0.0320634818043885,0.03853245678838977,0.03853245678838977,0.02737730480447243,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04631246008397589,0.04341468668009249,0.041331010142505134,0.041331010142505134,0.041331010142505134,0.031901403038211124,0.03765397727230663,0.03765397727230663,0.03765397727230663,,0.03723137097768011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,0.04713309969367701,0.04900042589078527,0.04343640450989174,0.04522921512373942,0.03970375098344076,0.03799463758397476,0.03974447950151716,0.03569544227743092,0.038727977964801416,0.038727977964801416,0.03555593860952083,0.03902999356627235,0.03260984194032939,0.03542219482767304,0.03542219482767304,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04810373418341412,0.045093880651742094,0.04292961163846635,0.04292961163846635,0.04292961163846635,0.03313528603415803,0.039110358429913394,0.039110358429913394,0.039110358429913394,,0.034113613660017916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.046823885372182364,0.0486789610700279,0.043151442170559454,0.044932491140867205,0.039443276529162866,0.03774537568188648,0.039483737849852193,0.035461264130099215,0.038473905020160105,0.038473905020160105,0.03532267566896099,0.03877393926352185,0.03239590671826339,0.03518980930644328,0.035189809306443276,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04863545972403995,0.045592336093414045,0.043404143841523274,0.043404143841523274,0.043404143841523274,0.03350155443679649,0.03954267365103372,0.03954267365103372,0.03954267365103371,,0.03388981301948786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,0.042757842404535604,0.04445182900360767,0.03940430293623919,0.041030691062339066,0.0360181430555612,0.03446768272384551,0.036055090838936335,0.032381916431932445,0.03513294880301395,0.03513294880301395,0.03225536256880609,0.035406928990511316,0.029582745280562817,0.032134033914760406,0.032134033914760406,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05562743501395994,0.05214682307027526,0.049644049929427635,0.049644049929427635,0.049644049929427635,0.03831783544092581,0.04522744354185344,0.04522744354185344,0.04522744354185344,,0.03094692532856982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,0.06076923788950985,0.06317835578827832,0.05602580714964968,0.05833718658404923,0.051208916198160204,0.04900300233740594,0.05126158900173515,0.04605740925340757,0.049950813488350385,0.04995081348835039,0.04587700636366843,0.050035517075858016,0.04203367548332483,0.045683734129016114,0.045683734129016114,0.036273125136299086,0.026088198795076643,0.018526321238154727,0.018920483765002893,0.01858758332500466,0.018255760417363306,,0.018115728686878677,,0.018163119571819604,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043994484896753026,,0.018018395807867196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,0.06077398122351331,0.06318328716562813,0.05603018023585831,0.05834174008464264,0.05121291330264792,0.04900682725960886,0.05126559021759086,0.0460610042577718,0.04995471239181452,0.04995471239181452,0.045880587286711384,0.05003942259084831,0.04203695641573627,0.04568729996622298,0.045687299966222984,0.03627595642979306,0.026090235105629994,0.018546552645092237,0.019074162500632447,0.018424073049734126,0.018272407907218503,0.018028344944031504,0.01813485788586367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04399791887985735,,0.018038975895514422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,0.061069684245985655,0.06351644131331921,0.05630108843134295,0.05614855032655483,0.051417082251191015,0.049489099589530496,0.05144275777845518,0.04615264625027352,0.05043804752111912,0.05043804752111912,0.04597094500016966,0.05028394609653872,0.03834143397780748,0.04613726958159048,0.04613726958159048,0.03622560956666475,0.026142791665169574,0.018746823902808817,0.019282008138964874,0.018624024567064582,0.018470857839242894,0.01822381150460601,0.018331237398694397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04443389922650273,,0.018234626723693328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,0.059450289051987994,0.06158944011901859,0.055334083423810444,0.05492714526559813,0.0457703783046414,0.040660871076518494,0.051361165966969866,0.04722538662347279,0.04474505182932436,0.047302365833764994,0.04705453005581059,0.044224021996460784,0.040009393390567194,0.040032834128114085,0.040032834128114085,0.03902666091888483,0.022994747543865414,0.019212973779916813,0.01978036262703198,0.019102476393525688,0.018945631439793054,,0.018786209611010605,,,,0.041720553701025974,0.03959523426196213,,,,,,,,,,,,,,,,,,,,,,,,,0.04111535852880966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,0.04673412762393404,0.04841572346758184,0.0434983606962849,0.04317846486189606,0.03598029101615149,,0.04037523321569387,0.03712407930634279,0.03517427746907249,0.037184592994258414,0.036989768224498766,0.034764693679099144,,,,,,,,,,,,,,,0.03279670649708543,,,0.043237923915787464,0.04323792391578746,0.04305427445413405,0.04156473370756751,0.04012841738886433,0.04156473370756751,0.04156473370756751,0.045133874862625066,0.043079125533147626,0.03843029450197631,0.03843029450197631,0.03582056739126297,0.032536783359836646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,0.047644309586566846,0.04952035653783483,0.044084323112725685,0.04390070248087904,0.03839444271173132,0.034656574468447214,0.04085677905864692,0.03719253667724222,0.03763850235679731,0.039559077228348734,0.037050486053338945,0.03734155950773542,,0.03400162163727869,0.03400162163727869,,,,,,,,,,,,,,,0.04086045589658877,0.04086045589658877,0.04069277203809211,0.04073544542495908,0.037969662287573945,0.04073544542495908,0.04073544542495908,0.04394118659099633,0.0420493573678304,0.03778844029630032,0.03778844029630032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,0.05136441735304364,0.05338694762822266,0.04752646414099576,0.047328506255769946,0.04139231309249407,0.03736258895282755,0.04404691073246493,0.0400965612239006,0.040577348278820154,0.04264788325175109,0.03994341916780319,0.040257219882342835,,0.03665649685371605,0.03665649685371605,,,,,,,,,,,,,,,0.03686778850853973,0.03686778850853973,0.03671648982878449,0.03675499339824873,0.03425946794381752,0.03675499339824873,0.03675499339824873,0.03964748651241507,0.037940516823421,0.03409595400593388,0.03409595400593388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,0.05195761456673507,0.05403829809792671,0.04783859002901064,0.0476783727642797,0.043647556047671364,0.03963458139482308,0.04387950524156011,0.0395357310061468,0.04278188175233647,0.04278188175233647,0.03937821009246204,0.04262643623146847,,0.03905266346906075,0.03905266346906075,,,,,,,,,,,,,,,0.03370518071528964,0.03370518071528964,0.033576955412135165,0.0357310663486519,,0.0357310663486519,0.0357310663486519,0.0378322249549314,0.03634216951434129,0.03438114135503847,0.03438114135503847,,,,,,,,,,,,,0.034998821017101715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,0.0548598605813803,0.05828761411678977,0.05069801381106699,0.05086009940827607,0.0458325624370973,0.04423656133601381,,0.03017002168825844,0.045370990407468476,0.045370990407468476,0.03873093899689018,0.04816070087303972,0.03131389284355487,0.04733551894583378,0.04733551894583378,,,,,,,,,,,,,,,0.029967191282757173,0.029967191282757173,0.029945584697237928,0.03295447056337497,,0.03295447056337497,0.03295447056337497,0.0336320457947882,0.0336320457947882,0.03137748081342688,0.03137748081342688,,,,,,,,,,,,,0.04267428303172048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,0.05269149931421926,0.05550287165952774,0.04945749431088876,0.049255729438076684,0.04506659250926992,0.04095470294929148,0.04529984458818115,0.04079787930512386,0.044192289695825844,0.044192289695825844,0.04038567369811664,0.044030487501252255,0.03365334080604538,0.04035411160633794,0.04035411160633794,0.0320299787918554,,,,,,,,,,,,,,,0.030413324826330277,,0.03395761518727383,,0.03395761518727383,0.03395761518727383,0.034859571531969585,0.034859571531969585,0.03181021612362235,0.03181021612362235,,,,,,,,,,,,,0.03615535682448832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
