threshold,PDX1,IRC15,PDA1,HSP82,HSC82,PGI1,AHA1,TAL1,TKL1,TPI1,ZWF1,PGK1,STI1,NQM1,TKL2,SSE1,FBA1,GPM1,ENO2,SBA1,HSP104,CDC19,ENO1,PYK2,FES1,PFK1,MAE1,PKP1,ERR3,TDH1,ERR1,TDH3,TDH2,MLS1,PTC5,AIM22,GPM2,KGD2,PKP2,PYC2,ILV2,CPR6,PYC1,LPD1,PTC6,LSC1,YMR31,KGD1,HSP78,SIS1,BTN2,CUR1,HSP26,YJL144W,MDH1,MBF1,CIT3,IDH1,IDH2,ACO1,CIT1,FUM1,ICL2,NCE103,SIP5,CYT1,MDH3,IDP3,ATP2,ATP18,ATP6,ATP15,ATP16,MDH2,ATP4,CIT2,IDP1,TOM40,TOM22,TOM70,PTC7,ACS1,TIM8,TOM7,TIM54,TOM20,TIM22
800,0.19613119792819098,0.19613119792819098,0.19613119792819098,0.02168899495376986,0.02125243366107125,0.019845168065065522,0.019320024620121168,0.019302928342394166,0.019183476054899617,0.019173449174307057,0.0188632927593886,0.018774527310029543,0.018716305344248854,0.01864203080640916,0.018642030806409155,0.01826290314913222,0.018239263279289646,0.018124776781783702,0.018092092805959022,0.018089498767417358,0.017834219368327263,0.01759260541286692,0.017589503941585257,0.017202250347463234,0.01717463046348851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.1968877524834021,0.1968877524834021,0.1968877524834021,0.021419398479217103,0.020985698933901245,0.019781946104318774,0.019115946551669347,0.019247805312082242,0.01912893667136116,0.01910061340470053,0.018811214795159417,0.018695467262669768,0.018466052304132126,0.018835979189810507,0.018835979189810514,0.018017386086492865,0.01817050487372941,0.018055729203079584,0.01802319058030306,0.017879295265347823,0.01759167545805372,0.017525972582691424,0.01752283516348771,0.01713818726357258,0.01698692787420279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.19689596718126437,0.19689596718126437,0.19689596718126437,0.021356736295225626,0.020927880927594844,0.019855905551879535,0.018924589227174993,0.01931976774894926,0.019200454689921015,0.01917202553008161,0.018881544935928182,0.018765364654126898,0.01828156585758324,0.018906401918079914,0.018906401918079914,0.01783723285452714,0.018238439570107325,0.01812323478367941,0.018090574507626096,0.017701030469807925,0.017414916987225883,0.01759149754385275,0.017588348394671115,0.017202262398320317,,0.017025921691763812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,0.15096379808112279,0.15096379808112279,0.18769607967550436,,,0.019301586920600026,,0.018780416512247704,0.01866443432379604,0.018636798822696077,0.018354427594541776,0.01824149072536761,,0.01837859064267534,0.01837859064267534,,0.017729275843841562,0.01761728723707177,0.01758553874010966,,,0.017100394541011244,0.017097333306836025,0.016722025698833937,,0.016550607907469678,0.10661101365855859,0.05514528907673602,0.01641044797368469,0.016150879401295944,0.016039128319659472,0.015451534010911276,0.015429232261630328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,0.19573832550792492,0.19573832550792492,0.21259750442560255,,,0.01743692211614926,,0.01696904740573807,0.016863477535222778,0.01683364269447824,0.016582069303648275,0.016477884890114147,,0.016606617252447227,0.016606617252447227,,0.016009559975658564,0.01590676814924309,0.01587888838030337,,,0.015438008640074566,0.015435239386793236,0.01509545626545037,,0.014969082605921278,,0.0688882901782575,0.014814782962035849,0.013970107340717281,0.013864050365915445,0.013970107340717281,0.013921781894160061,0.013387442623054413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,0.12282341057670997,0.12282341057670997,0.1716957270558568,,,0.020975314428280194,,0.020402649813939355,0.020275340914076127,0.020267654491063176,0.019934595046140605,0.019851363238820578,,0.01958691371385011,0.019586913713850115,,0.019274624827485088,0.019151977514246236,0.019118383905232256,,,0.018586977038686444,0.018583717472672606,0.01817285927523166,,0.018020148963639068,0.0882805906186633,0.06718251645896102,0.017833595705877676,0.01681573029410961,,0.01681573029410961,0.016757337602827483,,0.06718251645896102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,0.14372690858532142,0.14372690858532142,0.18135536107247532,,,0.02064829721585614,,0.020084560772126326,0.019959236691212644,0.01995167010395405,0.019623803247281933,0.019541869071695053,,0.01928154246687334,0.01928154246687334,,0.018974122343808113,0.018853387172702993,0.018820317307369362,,,0.01829719537942387,0.01829398663191839,0.01788953395001277,,0.017739204479984016,,0.08018215877588573,0.017555559694776415,0.01655356339003496,0.016427467354786958,0.016553563390034963,0.01649608107438483,,0.08018215877588573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,0.1227012139484893,0.1227012139484893,0.1715249075123544,,,0.021012411679169965,,0.020438734241734313,0.02031120018147051,0.020303500164136297,0.01996985166536036,0.01988647265303663,,0.019621555418730553,0.019621555418730553,,0.019308714213628803,0.019185849984540326,0.01915219696137329,,,0.01861985024079477,0.018616584909864335,0.01820500006254728,,0.018052019665242173,0.08819276053431474,0.06711567678281037,0.017865136466633843,0.016845470843065292,,0.016845470843065292,0.016786974877606945,,0.06711567678281037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,0.12363485068718749,0.12363485068718749,0.17283004500938498,,,0.020694000210524928,,0.02013873023275854,0.02001344075172993,0.019978033000491738,0.01967946770507322,0.019555822473348982,,0.01970860101508227,0.019708601015082265,,0.019000018197010447,0.01887802567658094,0.018844938188980493,,,0.01832170562670041,0.018318419098974633,0.01791516719833732,,0.017765187946295023,0.08886382155052128,0.06762636171876653,0.017582066358564137,0.01657961206250447,,0.01657961206250447,0.016522259807641635,,0.06762636171876653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,0.12828340777045963,0.10714170992959436,0.164344211290433,,,0.019013164120734897,,0.018492347667855978,0.01837618355867349,0.01811939331860282,0.018066027613008896,0.01800596008536983,,0.017584538663040637,0.017584538663040637,,0.01747018167890131,0.017092453030011744,0.017328290214280003,,,0.01686929079021429,0.016841511135382518,0.016492290053791922,,0.01632869161174365,0.07560535270918323,0.05357120968398852,0.016159454322143028,0.0152584362379814,,0.0152584362379814,,,0.05357120968398852,0.10714170992959436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
