threshold,PDA1,PDX1,KGD2,AIM22,LPD1,IRC15,PYC1,MAE1,PYC2,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,SIS1,BTN2,HSP78,YJL144W,HSP26,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
824,0.11288651476733622,0.08039563008019303,0.08039563008019303,0.0720164023419401,0.0720164023419401,0.060421104655898755,0.05093407795551117,0.05093407795551117,0.05093407795551117,0.027570974670506444,0.026955309270145802,0.026955309270145802,0.023465453311457746,0.022883454465230716,0.02287049448267693,0.02279823075734357,0.02271938285088442,0.02266496118031917,0.022241349908382703,0.02206772560289418,0.021753822689575094,0.02144059627575229,0.021288939126907366,0.021288939126907366,0.02010113887683561,,,,,,,,,,,,,,,,,,,,,
825,0.11341805332576757,0.08077418173806891,0.08077418173806891,0.07235549948532469,0.07235549948532469,0.06070560406607026,0.051173906658056385,0.051173906658056385,0.051173906658056385,0.02770079563416284,0.02708223130561704,0.02708223130561704,0.02316170901624328,0.02277698912968679,0.022578325937493603,0.022692258641159133,0.02242932096520891,0.022375135841920066,0.021952137723623154,0.02176724396721629,0.021470694724130858,0.02116201709627542,0.02101177047517671,0.02101177047517671,0.019840627948497905,,,,,,,,,,,,,,,,,,,,,
826,0.11454104135041769,0.08272412379651775,0.08272412379651775,0.0740851355808513,0.0740851355808513,0.06211729684518055,0.05228217807977605,0.05228217807977605,0.05228217807977605,0.023300668257380374,0.022692593914719252,0.025933172713575488,0.022995106630013685,0.022617455547294142,0.02245274630174157,0.02253675885453511,0.02231021520352729,0.02165427413264068,0.02184138690901963,0.02161852444621128,0.02077830423152571,0.02109428081013853,0.020913715377062332,0.02031472437316418,0.019822681107786254,,,,,,,,,,,,,,,,,,,,,
827,0.11927695158546607,0.08614450499747764,0.08614450499747764,0.07714832190887591,0.07714832190887591,0.06468565084680546,0.05444388098870225,0.05444388098870226,0.05444388098870225,0.024264077285119173,0.023630860989240873,0.027005427484734442,0.020717657351702144,0.019640008286214376,0.019791282116829696,0.019757528649571438,0.019677058242353107,0.01969092465781843,0.01929363301208115,0.0191138413264457,0.019218070034711147,0.018969886392096184,0.018803677502375687,0.018803677502375687,0.017742489955245425,,,,,,,,,,,,,,,,,,,,,
828,0.11565454442470681,0.08352832083435932,0.08352832083435932,0.0748053492724313,0.0748053492724313,0.06272116599276435,0.05279043577794259,0.05279043577794259,0.05279043577794259,0.023527184145761458,0.022913198449039232,0.02618528031799559,0.022429702565229283,0.02183620138908659,0.021848442679021803,0.021932442018526677,0.02171121440253926,0.021116658683183874,0.021450167469040136,0.021048059555589017,0.020430959330552084,0.020572531163535978,0.020428856542574866,0.019843636106181724,0.0193111072172622,,,,,,,,,,,,,,,,,,,,,
829,0.11643106980329794,0.08209754396984544,0.08209754396984544,0.0735531033481834,0.0735531033481834,0.06173843998954934,0.052102578645230074,0.052102578645230074,0.052102578645230074,0.023510508259784624,0.02290387743912509,0.026157704628070273,0.023029337433636547,0.02241542947678605,0.02243067586079164,0.022513999697014325,0.02229024327320199,0.02168106880659829,0.022200370342591213,0.02161256370283059,0.021174391420373945,0.021126560665613293,0.020979483520131077,0.020379980261398433,0.019815264847457388,,,,,,,,,,,,,,,,,,,,,
830,0.12004638392359629,0.0990485603678326,0.0990485603678326,0.0882911746783132,0.0882911746783132,0.0730421649461194,,0.038828274087995385,,0.02667857300117154,0.025882687778888986,0.029811880544383492,0.02217833331716793,0.02162059987536761,0.021584114958626714,0.02149747194887542,0.021450346298319614,0.020907957654761753,0.021374904965945057,0.02077007576154128,0.020387811734167417,0.020371640464954047,0.020197187956518137,0.019618215921862928,0.019072103400209758,0.021371187498065432,0.01862861386917004,,,,,,,,,,,,,,,,,,,
831,0.12018996935301603,0.09916703065913995,0.09916703065913993,0.08839677824433337,0.08839677824433337,0.07312952943205185,,0.03887471592344542,,0.026710482786668422,0.025913645619665214,0.02984753802551594,0.022113280029163882,0.021557182526083577,0.02152080462657263,0.021434415757319015,0.02138742833529797,0.020846630621235804,0.021312208286761666,0.0207091531619456,0.02032801038798202,0.0203118865521902,0.0201379457462845,0.019560671947199033,0.01901616127788732,0.021396749210412156,0.018573972586355104,,,,,,,,,,,,,,,,,,,
832,0.11781340074987694,0.09100834972028404,0.09100834972028404,0.08129372558955643,0.08129372558955644,0.06766618520260527,,0.044636768132667606,0.044636768132667606,0.025161717573569553,0.024454604833299,0.028067038839625823,0.023173785635559812,0.02259855764733175,0.02255302676381416,0.022469851966394623,0.022413261182187866,0.02184655617380817,0.02233414826964213,0.02170171064471568,0.02130275027528033,0.021285886220284916,0.021103584372188126,0.020498638936168215,0.01992806116728149,0.019749546661349926,,,,,,,,,,,,,,,,,,,,
833,0.11630098857550883,0.08984004343924958,0.08984004343924958,0.08025012936451906,0.08025012936451906,0.06679753051950399,,0.044063750198217025,0.044063750198217025,0.024838707731360925,0.02414067244671282,0.027706732363712835,0.02404711233225145,0.023111619649641785,0.02293602172885246,0.022969893032475697,0.0228259344730308,0.022896258666588808,0.0223659455867447,0.022103723576268886,0.022282940868580195,0.022031874238479347,0.02187320805299051,0.02187320805299051,0.020550384496481493,,0.020039397603852552,,,,,,,,,,,,,,,,,,,
