threshold,SDH2,SDH1,SDH4,YJL045W,SDH3,GDH1,GDH2,GDH3,AAT2,AAT1,SHH4,FUM1,SHH3,IDH2,IDH1,MDH3,MDH1,MDH2,IDP1,GLT1,SDH5,IDP3,ALT2,NIT3,ALT1,GLN1,CYT1,QCR2,RIP1,QCR9,COR1,QCR8,QCR6,QCR7,ACO1,PGI1,NQM1,TAL1,TKL2,TKL1,TPI1,ZWF1,PYC2,PYC1,CIT3,CIT1,PGK1,FBA1,GPM1,ENO2,LSC1,OSM1,COX6,COX12,COX2,COB,COX4,COX13,COX1,TCM62,QCR10,ATP7,ATP15,ATP18,ATP16,ATP4,ATP6,ATP3,ATP1,PDA1,PDB1,KGD2,LPD1,PDX1,AIM22,IRC15,MAE1,YMR31,CDC19,ENO1,PYK2,PTC5,YND1,AMD1,APT2,APT1,HPT1,ADE13,HAM1,ATP2,ADE12,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,HSP104,FES1,SIS1,ACS1,LYS20,MLS1,ACS2,LAT1,DAL7,HFA1,ACH1,LYS21,ACC1,LSC2
824,0.05057442560649643,0.04740998076436433,0.04513455113166652,0.04513455113166652,0.04513455113166652,0.04506817923726988,0.04506817923726988,0.04506817923726988,0.04385646816734866,0.04385646816734866,0.04111913443798844,0.04111913443798844,0.04111913443798844,0.04016941458907302,0.04016941458907302,0.03750396333215451,0.03750396333215451,0.03732104935600681,0.0371310219735853,0.03595599284792743,0.034837171935444264,0.03441242606851541,0.03198041880625027,0.026777234566137946,0.026574991477344954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.050606517336585596,0.04744006451297793,0.04516319101863001,0.04516319101863001,0.04516319101863001,0.045121097145556,0.045121097145556,0.045121097145556,0.04376450431327934,0.04376450431327934,0.041145226363859276,0.041145226363859276,0.041145226363859276,0.04022260012279432,0.04022260012279432,0.03754485415621808,0.03754485415621808,0.03736106954185696,0.03717792301359168,0.035264921174475085,0.03485927767575501,0.03445117949364757,0.032061940636431294,0.026784817813666303,0.02663982803229335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,0.05060982372571133,0.047443164021137865,0.04516614176670608,0.04516614176670608,0.04516614176670608,0.04569369834451405,0.04569369834451405,0.04569369834451405,0.04432947852287981,0.04432947852287981,0.04114791459723682,0.04114791459723682,0.04114791459723682,0.04081480981870423,0.04081480981870423,0.03804344239385061,0.03804344239385061,0.03376258493795473,0.0381469865928389,0.03556641312243123,0.03486155521514528,0.03258290494137459,0.03275876751910225,0.02467293809403796,0.02719613623402576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,,,,,,0.0592619570933725,0.0592619570933725,0.0592619570933725,0.06045881285916121,0.06045881285916121,,0.042507744427182415,,0.05862192118462108,0.05862192118462108,0.05166297216895129,0.05166297216895129,0.048026453214309095,0.054246687604003835,0.04535277113088464,,0.04376803620305027,0.047213838668103345,,0.039354205774323206,0.025526804474264708,0.017389011925189466,0.017083057289307608,0.01702675391080912,0.01677809296758665,0.016692950706536286,0.016649395759759107,0.016559941250304428,0.016550970988801064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,,,,,,0.0591040999459465,0.0591040999459465,0.0591040999459465,0.06111918065689686,0.06111918065689686,,0.042425869402429144,,0.058456327989249934,0.05845632798924992,0.051528724749650846,0.051528724749650846,0.04790896548217235,0.05410386281073614,0.04514540466744284,,0.04367257341226529,0.047110393592007034,,0.039288486952229786,0.025581763562373894,0.01760479315762794,0.01700478304884118,0.017117827484854447,0.016864801360883915,0.01662296964164388,0.016737847442215202,0.016649351676931445,0.016639539675910725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,,,,,,0.05533177164958247,0.05533177164958247,0.05533177164958247,0.05734775912758567,0.060083080890878465,,0.0429723740057474,,0.05755915458384839,0.05755915458384839,0.05115914599068899,0.05115914599068899,0.04768502714817071,0.05341971978556238,0.042332956712411704,,0.04331359078936286,0.043101874193307674,,0.03934265268925707,0.023433813089212576,0.01802965123313532,0.017414403369271914,0.017529226948806407,0.01727118474477786,,0.017140632582888712,0.017050296723515896,0.01704018394756699,0.04205965592071829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,,,,,,0.05535776825820387,0.05535776825820387,0.05535776825820387,0.05737470291060413,0.0601113098141918,,0.04299256378017998,,0.057586197687108695,0.05758619768710869,0.05118318216838717,0.05118318216838717,0.047707431075442765,0.0534448180520109,0.042352846068465726,,0.043333940878184686,0.043122124811006086,,0.03936113710632159,0.023444823032491558,0.017974984355105028,0.017358969640331064,0.01745938179298524,0.01721644012038847,,0.017071568919983345,0.01699599571279616,0.016985480572453544,0.04207941687145461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,,,,,0.05335715214684008,0.05335715214684008,0.05335715214684008,0.05530119527763241,0.0579389018816948,,0.04143882311335466,,0.055505046685000926,0.055505046685000926,0.04933343457019407,0.04933343457019407,0.045983296265742164,0.05151333548997836,0.04082222464219235,,0.04176786292711169,0.04156370184043495,,0.037938635305143284,0.022597532902078388,,,,,,,,,0.04055867710902119,0.022504302315184067,0.021938371512085955,0.021901350353438032,0.02181343389654939,0.0217656156104888,0.021689065469117134,0.021215255137842278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,,,,,,0.053180527022927866,0.053180527022927866,0.053180527022927866,0.05489585206367978,0.05736565383154497,,0.03957696153555065,,0.05334372943044537,0.05334372943044537,0.049333182670942013,0.049333182670942013,0.044367036665194766,0.04956976977348957,0.04113348435144837,,0.04012826267544093,0.03980148161620416,0.028111015610465414,0.03637721702321452,,,,,,,,,,0.03863285398847522,0.02431574249685337,0.023712168447334522,0.023664393894800073,0.023577120413113165,0.023517740950555484,0.02343472951513915,0.022923109875937583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,0.053142997480083054,0.05314299748008307,0.05314299748008307,0.05485711201450468,0.05732517084117593,,0.03954903204036204,,0.05330608471552373,0.05330608471552373,0.049298368202256485,0.049298368202256485,0.04433572680994069,0.04953478834508592,0.04110445641679368,,0.04009994412657217,0.03977339367700495,0.028091177643002087,0.03635154559043125,,,,,,,,,,0.03860559075078011,0.024730742534833792,0.023768654931250223,0.02358806497480592,0.02362289919846037,0.023474848071983016,0.023001782260236078,0.023547171496967403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
