threshold,PTC6,PKP1,UTH1,CDC42,HOG1,KSS1,STE11,BNI1,FUS3,BEM1,RHO1,CDC24,PBS2,CLA4,SHO1,BEM2,STE7,PTP2,RGA1,ACT1,RDI1,PTC1,STE5,RSR1,STE50,PTP3,SSK1,PDA1,PDB1,PDX1,IRC15,MAE1,PGI1,TAL1,TKL1,TPI1,ZWF1,PGK1,NQM1,TKL2,FBA1,GPM1,ENO2,CDC19,ENO1,PYK2,PFK1,ERR3,TDH1,TDH3,TDH2,ERR1,AIM22,SLT2,GIC2,SPA2,STE20,KGD2,LPD1,PYC1,PYC2,PKP2,LSC1,YMR31,KGD1,HSP104,SIS1,BTN2,HSP78,HSP26,CUR1,YJL144W,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,BOI2,BUD6,BEM3,STE12,GPA1,RHO3,SPT15,STE4,TAF6,TAF10,TAF12,TAF5,TAF9,SKO1,SLN1,PTC7,YPD1,IDH1,ACO1,IDH2,CIT2,FUM1,CIT1,MDH3,MDH2,IDP1,IDP3,TOM40,TOM22,TOM70,ACS1,TIM8,TOM7
800,0.2521576383983607,0.21550324179448022,0.11619725715721461,0.026513927209734223,0.02547930670133952,0.023079576360289317,0.02269210846155793,0.02191023845696938,0.0215008160730896,0.021440022683170388,0.020409886116302272,0.01989920198042483,0.019491684579988042,0.01928757916176225,0.01703517036436664,0.016654200227743266,0.01659873023574698,0.01650873606541732,0.016385798081985627,0.015680556482034348,0.015656680572356467,0.01516888886878722,0.01508898813656892,0.014891647557082553,0.014768118273227387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.2516362277893529,0.2150576250078506,0.11595698490925019,0.02517791701931991,0.027337712367189522,0.0224859131063501,0.023070570744435543,0.02172672238758222,0.02159389202066019,0.020468883404068876,0.020500989742540682,0.01900975277252592,0.021171434852114278,0.018931742346715897,0.017724821679024567,0.016132493818840837,0.016400593723193788,0.01779705288741651,0.015697080243407796,0.01580141807010329,0.01498130271059663,,0.014638178421637064,,0.01580513336324895,0.01555031614150018,0.015345240471073496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.2503942897045462,0.21399621879749797,0.11538468497842023,0.025535917286206373,0.027204939283759635,0.02245533584953998,0.023085107788149338,0.022604577141349516,0.02156810457215472,0.0213861620415453,0.020215258780254937,0.019845001291654167,0.02115432784132712,0.019077409364411057,0.017728611613266162,0.015831134753218092,0.01640424511165894,0.017795215065816435,0.015665221898183618,0.015707523794421373,0.015376638244693994,,,0.014917561066601184,0.01581019102643025,0.015529112656871522,0.015327210048021945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,0.3419806543384909,,0.24181690202685824,0.022378694042996146,0.021961723178180386,0.018055341111254845,0.018658119234540554,0.01981635630181779,0.0173259604181095,0.018709639615085753,0.018347266169564162,0.017366264850553866,0.017376372211903048,0.016726896401598454,0.014659650337104067,0.013958121931415645,0.013467879135357212,0.014369059385249423,0.013710898142742756,0.014024292639956882,0.013474037453512217,,,,,,,0.027206612354502627,0.02539144442890216,0.02188225529833767,0.02188225529833767,0.015453303693628115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,0.3373508199343964,,0.23854311388038799,0.02302452251120169,0.021520710709607878,0.017826290997088285,0.01831161971165649,0.02007385234946541,0.01712130163958701,0.019255496288589996,0.018080197151513086,0.01785818283874968,0.01670560579567723,0.017141891222936953,0.014053768407978654,0.013506189083008963,0.013040540387707716,0.013835427803439162,0.01404974916040925,0.013961819044477925,0.013850265584066507,,,0.013450856879417935,,,,0.02855794846842106,0.026293276716738225,0.026293276716738225,0.026293276716738225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,0.06013368161387709,,,,,,,,,,,,,,,,,,,,,,,,,,0.15368129581074802,0.12728167134718033,0.10993669567084573,0.10993669567084573,0.0790181316323652,0.0209753144282802,0.020402649813939355,0.020275340914076134,0.020267654491063176,0.019934595046140605,0.019851363238820578,0.019586913713850115,0.019586913713850115,0.019274624827485095,0.01915197751424624,0.019118383905232263,0.01858697703868645,0.01858371747267261,0.018172859275231656,0.018020148963639075,0.01783359570587768,0.01681573029410961,0.01681573029410961,0.016757337602827483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,0.07282685198134749,,,,,,,,,,,,,,,,,,,,,,,,,,0.16471918739136107,0.13054248547406033,0.13054248547406033,0.13054248547406033,,0.02064829721585614,0.02008456077212633,0.019959236691212648,0.01995167010395405,0.019623803247281933,0.019541869071695056,0.019281542466873344,0.019281542466873344,0.018974122343808117,0.018853387172702997,0.018820317307369366,0.018297195379423873,0.01829398663191839,0.01788953395001277,0.01773920447998402,0.017555559694776415,0.016553563390034963,0.016553563390034963,0.016496081074384834,0.01642746735478696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,0.060073854801535646,,,,,,,,,,,,,,,,,,,,,,,,,,0.15352839876872262,0.12715503920922,0.10982731999510428,0.10982731999510428,0.07893951673958188,0.021012411679169955,0.020438734241734303,0.020311200181470503,0.020303500164136287,0.019969851665360354,0.01988647265303662,0.019621555418730542,0.01962155541873055,0.019308714213628793,0.01918584998454032,0.019152196961373283,0.01861985024079476,0.018616584909864328,0.018205000062547275,0.01805201966524217,0.017865136466633832,0.016845470843065292,0.016845470843065292,0.01678697487760694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,0.060530958330287016,,,,,,,,,,,,,,,,,,,,,,,,,,0.1546966003611221,0.12812256522054508,0.11066299893877986,0.11066299893877986,0.07954016958230022,0.020694000210524935,0.02013873023275854,0.020013440751729936,0.01997803300049174,0.019679467705073225,0.01955582247334899,0.019708601015082268,0.019708601015082268,0.019000018197010447,0.018878025676580937,0.018844938188980493,0.018321705626700407,0.01831841909897463,0.01791516719833732,0.01776518794629502,0.017582066358564137,0.016579612062504467,0.016579612062504467,0.016522259807641628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,0.04740964886657135,,,,,,,,,,,,,,,,,,,,,,,,,,0.14544195280439567,0.1267316341697551,0.11352872846592532,0.09481866989171793,0.0669095069071583,0.01901316412073488,0.018492347667855964,0.01837618355867348,0.018119393318602812,0.01806602761300889,0.018005960085369817,0.017584538663040626,0.017584538663040626,0.0174701816789013,0.017092453030011733,0.017328290214279993,0.016869290790214278,0.016841511135382507,0.016492290053791915,0.016328691611743645,0.01615945432214302,0.015258436237981393,0.015258436237981393,,,0.09481866989171793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,0.046907334097667175,,,,,,,,,,,,,,,,,,,,,,,,,,0.1439009660504645,0.12538888700640888,0.1123258687450309,0.0938140470060158,0.06620058721880222,0.01959239595591479,0.01871240035356333,0.0186080844049245,0.01837495291397588,0.018285597614393,0.01826153388558396,0.017800509190225893,0.017800509190225893,0.01801494285579817,0.017624630892387257,0.017870250855192584,0.017395172833820704,0.017366271251436437,0.017003100211769265,0.01683307113165004,0.01665652133412982,0.015724158997301674,0.015724158997301674,,,0.0938140470060158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,,0.04744055486369313,,,,,,,,,,,,,,,,,,,,,,,,,,0.14553676533058435,0.12681424957852797,0.1136027369987681,0.09488048147667634,0.06695312471655639,0.01911445294773446,0.01825646160388956,0.01815399285083523,0.017921424776974438,0.01783109394470576,0.017813250936976586,0.017363953700903403,0.017363953700903403,0.017569192454467027,0.01718498236324672,0.017427212765061123,0.016961170948276625,0.01693265447138306,0.01657779710168396,0.016471173191758358,0.016240211947729444,0.015354312925994078,0.01535431292599408,,,0.09488048147667634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,0.04426047153730372,,,,,,,,,,,,,,,,,,,,,,,,,,0.13578099746205463,0.11831350835001639,0.10598760326350767,0.08852035693743547,0.06246505504341395,0.02198168915405121,0.021034097274418267,0.020915616257944695,0.02060025656765054,0.02054450252082711,0.020480545958280392,0.020005848281089977,0.020005848281089977,0.020199308082227512,0.01989901775380978,0.020035123947274785,0.019487996504966732,0.019465481478143924,0.01854465630838996,0.018932392510660166,0.01866708351667251,0.017676093035667605,0.017676093035667605,,,0.08852035693743547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,0.04431210345058704,,,,,,,,,,,,,,,,,,,,,,,,,,0.1359393923558048,0.11845152659951075,0.10611124276735245,0.08862362008024564,0.06253792345609051,0.02193533252262076,0.0209897389956714,0.020871507840833744,0.02055681320465933,0.02050117673614307,0.02043735504998264,0.019963658450785283,0.019963658450785283,0.0201567102694136,0.01985705321571734,0.01999287237825394,0.01944689875924904,0.01942443121380005,0.01850554794908838,0.018892466464232954,0.018627716973710347,0.01763881636760801,0.01763881636760801,,,0.08862362008024564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,,0.059088126109804566,,,,,,,,,,,,,,,,,,,,,,,,,,0.15100921054346506,0.12506860125945296,0.10802520590049923,0.10802520590049923,0.07764422868425964,0.0218728184267865,0.020929919772335787,0.020812025567655438,0.020498227788213155,0.020442749879569243,0.020379110080553712,0.019906763482071776,0.019906763482071776,0.020099265117114858,0.019800462064138796,0.019935894151980535,0.019391476517919382,0.01936907300333421,0.018452808488824357,0.018838624314455984,0.018574629340647703,0.017588547029057044,0.017588547029057044,0.01675171606623199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,0.06001226211566105,,,,,,,,,,,,,,,,,,,,,,,,,,0.1533709887528441,0.1270246693434396,0.1097147159405908,0.1097147159405908,0.07885858141632526,0.021284058291904145,0.020369060533558175,0.02025441818571392,0.019941881012263834,0.019895688724461468,0.019822734589756266,0.01947093182606267,0.01947093182606267,0.01955382492270128,0.019263021090989325,0.019394599997453955,0.01886509468094995,0.01884330910927163,0.017952884699372014,0.01832781695607909,0.018071259326596138,0.017112086353719847,0.017112086353719854,0.016298378009912302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,0.05988661970000868,,,,,,,,,,,,,,,,,,,,,,,,,,0.15304988935017932,0.12675872892158055,0.10948501585168524,0.10948501585168524,0.07869348211303669,0.021352672892223774,0.02043752728379021,0.020322602622370196,0.020001066627132257,0.01996339075917943,0.019877935838087085,0.019645080235071118,0.019645080235071118,0.019611946017820642,0.01932015622404159,0.019451928399102873,0.01892100317090714,0.018899163955414598,0.01800717731530399,0.018382764092339604,0.0181257477478677,0.0171638906521527,0.0171638906521527,0.016348223491795474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,0.24566521377534825,0.20995457564162262,0.11320547020090518,0.027341936207050384,0.026013651141287376,0.023263750858346914,0.022747438850966358,0.024125978550242917,0.02249386056433539,0.02425868774645795,0.020993765216294778,0.023217307235925355,0.02031903174298855,0.02166857320423429,0.01655434586625681,0.015829479131001516,0.016249461807606683,0.016694775129430017,0.015670588087869503,0.015671432144724672,0.016677151727796533,,,0.016372450299495734,0.015269053340340687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014915622230225046,0.014826399299246517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
