threshold,PDB1,PDX1,KGD2,LPD1,AIM22,IRC15,PYC1,PYC2,MAE1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,HSP78,BTN2,SIS1,YJL144W,HSP26,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
824,0.1032207594970019,0.08168904628152207,0.08168904628152207,0.07317501234919525,0.07317501234919525,0.06139316788354165,0.05175351256360742,0.05175351256360742,0.05175351256360742,0.02801454038781837,0.027388970075926722,0.027388970075926722,0.023467121804343828,0.02288508157553953,0.022872120671476228,0.022799851807886625,0.022720998295008156,0.02266657275483217,0.02224293136234426,0.022069294711433943,0.02175536947829129,0.02144212079274689,0.021290452860437847,0.021290452860437847,0.020102568152749137,,,,,,,,,,,,,,,,,,,,,
825,0.1037068205059542,0.08207371561014777,0.08207371561014777,0.07351958954961373,0.07351958954961373,0.06168226501157739,0.051997217072817334,0.05199721707281733,0.051997217072817334,0.02814645935288502,0.027517943264015455,0.027517943264015455,0.023163363666768303,0.022778616296188,0.02257993891168479,0.022693879754594602,0.02243092329462619,0.02237673430040352,0.02195370596352222,0.021768798998480766,0.02147222857019866,0.02116352889070625,0.021013271536131424,0.021013271536131424,0.019842045344141253,,,,,,,,,,,,,,,,,,,,,
826,0.1060103961968088,0.08388947061760754,0.08388947061760754,0.07512878371245937,0.07512878371245937,0.06299235228355884,0.053018684762817916,0.053018684762817916,0.05301868476281792,0.023628908176243676,0.023012267801454492,0.026298497107423106,0.022996321376668,0.022618650344034912,0.0224539323975005,0.02253794938836729,0.0223113937698941,0.021655418048060485,0.021842540708917144,0.02161966647310703,0.020779401872687092,0.021095395143176925,0.020914820171495003,0.02031579752511179,0.019823728266903304,,,,,,,,,,,,,,,,,,,,,
827,0.11039383232462055,0.08735822603632648,0.08735822603632648,0.07823529247554672,0.07823529247554672,0.06559703034044465,0.05521096048836978,0.055210960488369765,0.055210960488369765,0.024605942632073868,0.02396380472314002,0.027385916704589945,0.020718797043131593,0.019641088695487398,0.019792370847771783,0.019758615523713947,0.019678140689767643,0.019692007868033254,0.01929469436703135,0.0191148927909416,0.01921912723289419,0.018970929937540137,0.018804711904563527,0.018804711904563527,0.01774346598083537,,,,,,,,,,,,,,,,,,,,,
828,0.1070410241453144,0.08470503999670254,0.08470503999670254,0.07585918211685308,0.07585918211685308,0.06360476088813588,0.05353412985377035,0.05353412985377035,0.05353412985377035,0.023858627279584235,0.023235991956872638,0.02655416982533546,0.022430898963003588,0.021837366129575913,0.021849608072460138,0.02193361189248019,0.02171237247623699,0.021117785043347406,0.02145131161852423,0.02104918225668291,0.020432049115590423,0.020573628499999726,0.020429946215450738,0.01984469456346632,0.019312137269516652,,,,,,,,,,,,,,,,,,,,,
829,0.10557855636446942,0.08356036651767804,0.08356036651767804,0.07486368016739135,0.07486368016739135,0.06283850191244797,0.0530309477919424,0.0530309477919424,0.0530309477919424,0.02392942093281233,0.02331198110131325,0.026623785320368954,0.02303975837027918,0.022425572615774228,0.02244082589887547,0.02252418743971821,0.022300329764555392,0.021690879642234748,0.02221041616581343,0.021622343539427328,0.02118397298094093,0.02113612058242842,0.02098897688350675,0.020389202345346535,0.01982423139372157,,,,,,,,,,,,,,,,,,,,,
830,0.107062254173682,0.10121847159397038,0.10121847159397038,0.09022541794638178,0.09022541794638178,0.0746423397806591,,,0.03967890641947204,0.027263035156276007,0.026449714039194633,0.030464985789177584,0.02218233237725646,0.021624498368406526,0.021588006872930773,0.021501348240247076,0.02145421409228501,0.020911727648556783,0.021378759156795338,0.020773820893324902,0.020391487938462505,0.020375313753345753,0.020200829788710954,0.019621753357394234,0.019075542364103998,0.02183937784324291,0.01863197286577107,,,,,,,,,,,,,,,,,,,
831,0.10719033262504625,0.10133955913496481,0.10133955913496481,0.09033335450995832,0.09033335450995832,0.07473163432577302,,,0.03972637424952341,0.027295649893834588,0.026481355801637557,0.03050143101659062,0.022117272129283678,0.021561074234180768,0.021524689767384603,0.02143828530238875,0.02139128939775035,0.02085039405372934,0.021316055769773804,0.020712891775697597,0.020331680194206975,0.020315553447586607,0.020141581240228423,0.019564203226173513,0.019019594256604887,0.02186550426580434,0.018577325736954624,,,,,,,,,,,,,,,,,,,
832,0.10588811648218252,0.09281668243686077,0.09281668243686077,0.08290902906542247,0.08290902906542245,0.0690107099290056,,0.045523699149707705,0.045523699149707705,0.02566168001914072,0.024940516973524892,0.028624729916841486,0.023175719717123976,0.022600443720432184,0.022554909036912138,0.022471727297733283,0.02241513179046599,0.02184837948494951,0.022336012275165396,0.021703521867065315,0.021304528200442034,0.021287662737974476,0.021105345674985777,0.020500349750287257,0.019929724361043587,0.020141969460741902,,,,,,,,,,,,,,,,,,,,
833,0.10456901968725008,0.09166042248639383,0.09166042248639383,0.08187619329362401,0.08187619329362401,0.06815101188820911,,0.04495658956615067,0.04495658956615067,0.025342000710542142,0.024629821523490414,0.02826813853771854,0.024058374235516693,0.02312244343676438,0.022946763278791225,0.0229806504452482,0.022836624466175185,0.02290698159442631,0.02237642015484059,0.022114075338812274,0.0222933765633555,0.022042192352063943,0.021883451858973946,0.021883451858973946,0.020560008788956415,,0.020048782587554128,,,,,,,,,,,,,,,,,,,
834,0.1058831907170293,0.1001043367989881,0.1001043367989881,0.08923111051922199,0.08923111051922199,0.07381685601965382,,,0.0392317527917185,0.026946965115640435,0.026142776088041834,0.03011212876707733,0.022874426925101898,0.02236641432558721,0.02228182229974555,0.022236660309341037,0.02216214916638016,0.02159957734969057,0.021699236882825598,0.02140723607012755,0.020639182458378418,0.021024795725044097,0.020841654355996126,0.020238767602370367,0.01967147066834912,0.020940924331141544,0.019211117394339252,,,,,,,,,,,,,,,,,,,
835,0.1055828301554733,0.09982036920591197,0.09982036920591197,0.08897798718319176,0.08897798718319176,0.07360745854894843,,,0.03912046344333799,0.0268705242233746,0.026068616451811927,0.030026709203831478,0.02284458944889934,0.022277441743753797,0.022228852302988055,0.0221504646168553,0.022111361587615695,0.02155275689025421,0.02208142903365422,0.021786479373105794,0.021033293380387324,0.021414879835836908,0.021235117077163298,0.020244723062882254,0.020078344257205477,0.020881520872018257,0.01920543171239493,,,,,,,,,,,,,,,,,,,
