threshold,PDA1,PDB1,PDX1,KGD2,AIM22,LPD1,IRC15,MAE1,PYC2,PYC1,PTC6,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO1,ENO2,CDC19,PKP2,PYK2,PFK1,LSC1,YMR31,KGD1,HSP104,HSP78,BTN2,SIS1,HSP26,YJL144W,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1
824,0.10219939355881051,0.0919690968373245,0.07278446549535611,0.07278446549535611,0.06519851074154348,0.06519851074154348,0.054700955793641114,0.04611207892509596,0.04611207892509596,0.04611207892509596,0.02496079267712849,0.024403413164777683,0.023455634991607136,0.02287387966297804,0.022860925103087616,0.022788691614049266,0.02270987669881151,0.022655477799141045,0.022232043772915756,0.022058492114605293,0.02174472054327071,0.021431625188374215,0.02128003149529873,0.02128003149529873,0.020092728239792516,,,,,,,,,,,,,,,,,,,,,
825,0.10268040833618881,0.0924019613886727,0.0731270350767177,0.0731270350767177,0.06550537603729198,0.06550537603729198,0.05495841297765384,0.04632911143973455,0.04632911143973455,0.04632911143973456,0.025078273903921353,0.024518271012187242,0.023151972174818732,0.022767414018837723,0.022568834341725307,0.022682719149759827,0.022419892008936935,0.022365729664276062,0.02194290936815962,0.021758093338365477,0.02146166876021528,0.021153120895889454,0.02100293743625794,0.02100293743625794,0.019832287240652793,,,,,,,,,,,,,,,,,,,,,
826,0.10285122614936734,0.09386885621130701,0.07428147556799632,0.07428147556799633,0.0665241641257777,0.0665241641257777,0.055777737571509785,0.04694637012085219,0.046946370120852184,0.046946370120852184,0.020922651585116525,0.023286488232410585,0.022986306092265242,0.022608799541713468,0.022444153332612796,0.02252813373266819,0.022301676782974015,0.021645986749590646,0.021833027915383982,0.021610250745048864,0.020770352093982692,0.0210862077440931,0.020306949653891432,0.02090571141584583,0.019815094700113903,,,,,,,,,,,,,,,,,,,,,
827,0.10710210466982965,0.09774849012086795,0.07735155592369058,0.07735155592369058,0.06927363198300379,0.06927363198300379,0.05808305171738466,0.04888668064345678,0.04888668064345678,0.04888668064345678,0.021787392371824546,0.02424892724602424,0.02070940071910026,0.01963218113037506,0.019783394673650926,0.019749654658202075,0.019669216320950755,0.019683077210217052,0.019285943897591414,0.019106223864550076,0.019210411034424564,0.018962326300731604,0.018796183650437417,0.018796183650437417,0.017735419019641256,,,,,,,,,,,,,,,,,,,,,
828,0.10385070108786613,0.09478104338496786,0.07500331891400663,0.07500331891400663,0.06717062442904854,0.06717062442904854,0.056319767578501864,0.04740257975632252,0.04740257975632252,0.04740257975632252,0.02112597114375647,0.023512778790776324,0.022421034997257453,0.021827763169309213,0.0218399997288111,0.021923966608233966,0.021702824481806354,0.021108498518155286,0.021441878425348882,0.021039925899498723,0.020423064142097744,0.020564581267112077,0.019835967878559964,0.020420962166706323,0.019303644776156252,,,,,,,,,,,,,,,,,,,,,
829,0.10476003303419121,0.09333236845351425,0.07386809579983229,0.07386809579983229,0.06618014890304404,0.06618014890304404,0.05554978601254268,0.04687982227821324,0.04687982227821324,0.04687982227821324,0.021153817671749144,0.023535659386835238,0.02297071203296128,0.022358366891369878,0.022373574462909687,0.022456686183030528,0.02223349937221889,0.021625875670907017,0.02214385522963044,0.021557544959440803,0.0211204881248644,0.021072779132059363,0.020328099285142755,0.020926076398416347,0.01976482145782378,,,,,,,,,,,,,,,,,,,,,
830,0.10808368124323249,0.09432695628063995,0.08917830488931211,0.08917830488931211,0.07949289989938318,0.07949289989938318,0.06576346421543651,0.0349590105306525,,,0.02402003530667073,0.026841106651502546,0.02216014282887866,0.02160286683550319,0.02156641184339374,0.02147983989753312,0.021432752899051947,0.020890809118240435,0.021357373443043552,0.0207530403146254,0.0203710898170923,0.020354931811422183,0.019602125221002794,0.020180622387512337,0.019056460616390446,0.01924153432893392,0.018613334831850764,,,,,,,,,,,,,,,,,,,
831,0.10821285212960106,0.09443968649496161,0.08928488194659684,0.08928488194659684,0.07958790192209284,0.07958790192209286,0.06584205817953606,0.0350007900696622,,,0.02404874166840341,0.026873184477659177,0.022095121221351585,0.0215394803700059,0.021503132343009792,0.021416814413882282,0.021369865576619584,0.020829511950532696,0.02129470729668582,0.020692147383891548,0.020311317593726497,0.0202952069983782,0.019544609269835023,0.02012140902780317,0.01900054573747372,0.01926452990065919,0.018558720158942187,,,,,,,,,,,,,,,,,,,
832,0.10590874095015952,0.09333392591943852,0.08181225288021533,0.08181225288021533,0.07307925982559907,0.07307925982559907,0.06082873793723099,0.04012636833267853,0.04012636833267853,,0.022619208098557813,0.025230956128792517,0.023125408980899244,0.022551381815280633,0.02250594598018814,0.022422944815101042,0.022366472167519323,0.02180095018952215,0.022287524407879965,0.02165640703407936,0.021258279518124184,0.021241450667845753,0.020455846809218314,0.021059529385690497,0.019886460155331815,,0.01942406696215435,,,,,,,,,,,,,,,,,,,
833,0.10452262487610887,0.09211238694342457,0.08074150765414442,0.08074150765414442,0.07212281056734893,0.07212281056734893,0.060032621482039736,0.039601201064706035,0.03960120106470605,,0.022323171646359198,0.02490073755060884,0.023990823599403185,0.023057520688977613,0.022882333802341396,0.022916125821070266,0.022772504235345204,0.022842663816217527,0.022313592076741655,0.022051983867394664,0.022230781653440546,0.021980302712301003,0.02182200792768574,0.02182200792768574,0.02050228079542712,,0.01999249000502828,,,,,,,,,,,,,,,,,,,
