threshold,PDA1,PDB1,KGD2,PDX1,AIM22,LPD1,IRC15,PYC1,PYC2,MAE1,PTC6,PKP1,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO1,ENO2,CDC19,PKP2,PYK2,PFK1,LSC1,YMR31,KGD1,HSP104,BTN2,SIS1,HSP78,HSP26,CUR1,YJL144W,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,CDC42,BNI1,BEM1,CDC24,CLA4,HOG1,KSS1,FUS3,STE11,PBS2,RGA1,STE7,RSR1,SPA2,BOI2,BUD6,GIC2,BEM3,STE12,ACT1,GPA1,SHO1,STE20,SLT2,RHO3
850,0.10027427004476723,0.08976146362751818,0.07412115222345943,0.07105964701991897,0.06377914015557112,0.06684064535911156,0.05317609410185095,0.04715481386621887,0.04472025895705256,0.04472025895705256,,,0.024988563497289874,0.02496650272294506,0.021984252996292142,0.02479359580419659,0.02377104946610641,0.02298860206121564,0.023600732597197353,0.022245532830788617,0.02316737175903381,0.022788073643884122,0.02185399953161193,0.022267094852290493,0.021807646386531623,,0.02080822651523573,,,0.02236101102285915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,0.10039201860929864,0.08986686737154603,0.07420819009740086,0.07114308987548869,0.06385403376683364,0.0669191339887458,0.053238536927364265,0.04721018611316731,0.0447727723914093,0.0447727723914093,,,0.024929183593533636,0.024882258556189273,0.02193130236729517,0.024721420738783844,0.023714117859071057,0.022933297745450984,0.02354586100638253,0.022194293688893876,0.02311345517427785,0.022735005061358476,0.021803120674200396,0.02221533696080239,0.02175686650333397,,0.02075960976255835,,,0.02238726877520417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,0.10046193288500231,0.08992945179836677,0.07425986962266404,0.07119263482606214,0.06389850252623713,0.06696573732283902,0.05327561292006132,0.04724306388585942,0.04480395271825553,0.04480395271825553,,,0.02489231600098228,0.02484672714179757,0.0218989027970203,0.02468611772264026,0.023679067504412538,0.02289940928545206,0.02351101354175838,0.022161362322094775,0.02307925444288018,0.02270136537962926,0.021770858647553553,0.02218246011775922,0.021724673375991235,,0.020728900943158393,,,0.02240285955326685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,0.10189543727257815,0.09362854508732375,0.08634296460374306,0.08243040133041919,0.07373896710870562,0.07765153038202949,0.06078287332517213,,0.03915645378388454,0.03915645378388454,,0.02040605574595797,0.023128500075945805,0.023182541871809254,0.020438244517741788,0.023031055325078008,0.02209581978189117,0.021371808926968376,0.021834582104816654,0.02056858832042789,0.021429690794906513,0.021169060819349116,0.01970123283143484,0.020086756833405165,0.020170980385890144,,0.019239106784634884,,,0.027362348202001903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,0.10023881239935144,0.08977681989600182,0.0742281896290808,0.07117380712859273,0.06533136170011819,0.06697252745260206,0.05309338650118939,0.04698551348161297,0.044570350286895107,0.044570350286895107,,,0.02494143694098027,0.024998575510661685,0.02204880501078302,0.024834955291630944,0.023829682842301338,0.023120966023428263,0.02355204493182912,0.022179204658156718,0.022950958813805232,0.022826700374865623,0.02124251336488995,0.021658935018701243,0.021764369682236235,,0.020759108030772758,,,0.022350624742617977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,0.09448230668773028,0.08620345844090802,0.07570220204393152,0.06440519782161828,0.05761284515408541,0.06977266468336726,0.04667913376023414,0.039124728496255846,0.037431976684219194,0.037431976684219194,,,0.024097449045525934,0.024132764916458903,0.021296601751418565,0.023975412730057457,0.023023638340297203,0.02233965313743767,0.022770885169958986,0.0216434910481911,0.022179679244599397,0.02207159336537271,0.020533759661024293,0.020946711178601318,0.021048300091918597,,,,,0.031320905179201476,0.06977266468336726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,0.094808160662416,0.08650076002624572,0.07596328651882696,0.06462732078237489,0.057811542404867605,0.07001329915672566,0.04684012243423985,0.03925966326590685,0.037561073430588954,0.037561073430588954,,,0.023720625316888882,0.02416123808593293,0.021456376343923503,0.024005138282645,0.022387406230858546,0.022331741517634153,0.022811137956198026,0.021673983558098457,0.02180908236726753,0.021706399022525847,0.020195400961366555,0.020601235300563948,0.02075170794403635,,,,,0.03142892584255307,0.07001329915672566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,0.08255486377352227,0.07340924843658855,0.059627870410059125,0.05090618587930073,0.043836403232377856,0.053548297788985615,0.0434060768052451,0.04041063370740337,0.038208041716264,0.038208041716264,0.01651240436555819,0.01651240436555819,0.01743804721672724,0.017816690805923078,,0.0176995233261002,0.01646174832671494,,0.01645052476040234,,,,,,,,,,,0.018433579087365995,,0.061428895456399506,0.054568942782472055,0.05456894278247205,0.05456894278247205,0.03780789682527453,0.03780789682527453,0.03780789682527453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,0.08367841999858952,0.07440833455082052,0.06043939455199845,0.051599009529231625,0.04443300846537072,0.05427708008687206,0.043996825376208415,0.04096061485915504,0.03872804600378491,0.038728046003784926,0.016737135094527074,0.016737135094527074,0.017822659236218258,0.017961612754094986,,0.017840401924483225,,,0.016506446362480102,,0.016492386841534236,,,,,,,,,0.018684456644268006,,0.05987023112675277,0.053184339266656874,0.053184339266656874,0.053184339266656895,0.036848579231775785,0.036848579231775785,0.036848579231775785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,0.0812497502041262,0.07224871831305044,0.05868521071407986,0.050101407687920776,0.043143391554119316,0.05270175033111335,0.04271986817690571,0.03977178017426553,0.03760400905937842,0.03760400905937842,,,0.018291450559546927,0.01843569972757411,,0.01831123776882266,0.016914052095493366,,0.016940439725970684,,0.01692500930703561,0.01640744023558393,,,,,,,,0.01814216180315296,,0.062380231982079565,0.05541404064807762,0.05541404064807762,0.05541404064807762,0.038393419858723105,0.038393419858723105,0.038393419858723105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
