threshold,FAS1,FAS2,HTD2,ETR1,OAR1,MLS1,ACS1,DAL7,RIP1,CYT1,QCR2,MRPS9,MRPS5,MRPS28,LSC1,MRPS16,SHM1,SHM2,MIS1,ADE3,GCV1,YND1,ADE12,GUA1,YTM1,NOP7,PWP2,RPS8A,RPS8B,RPS13,RPF2,RPS2,RPS20,ADE13,PDA1,PDB1,PDX1,IRC15,MAE1,PGI1,TAL1,TKL1,ACS2,RPS3,RPS5,RPL5,CEM1,SDH2,SDH1,SDH4,GDH2,IDH1,KGD1,SDH3,GDH3,KGD2,HSP82,HSC82,AHA1,SOL4,PGM2,GAD1,NQM1,LPD1,TKL2,TPI1,ASC1,HSP104,BTN2,HSP78,TFS1,SIS1,MDH1,DCS2,CIT3,IDH2,MRP17,ATP6,ATP15,ATP16,AMD1,APT1,HPT1,APT2,HAM1,MCM4,MCM5,MCM3,RAD51,SGS1,RAD52,RPS15,MCM7,ERB1
800,0.15299845896860662,0.15299845896860662,0.14034576520290593,0.1366759442576077,0.13567144302628906,0.06788803075906305,0.06598857318041468,0.06446756326139028,0.021012969346050066,0.02096527848698606,0.02057116928625096,0.0068141660325994466,0.006808425126536761,0.00679375409669273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.14072790243452835,0.15450290033492714,0.14171421283079041,0.14072790243452835,0.13608760663263345,0.06847050943336894,0.06727567227598243,,0.021277500418920826,0.021133425660118315,0.02082945450604333,0.0070264649171651854,,0.007002451670801633,0.06622090220970835,0.0070030942404833586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,,,,,,,,,,,,,,,,0.14780824438800638,0.14571168535327966,0.12422346662709238,0.12422346662709238,0.12372377142334352,0.09840868812687774,0.09407443156688965,0.08969697441188199,0.011588456188940976,0.011567163000154005,0.01145814315404056,0.005842879480171824,0.005842879480171824,0.005829750172057088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,,,,,,,,,,,,,,,,0.15941190379844378,0.1571507547770518,0.1339756073381391,0.1339756073381391,0.1334366836530742,0.0838455579955725,0.08015271169627386,0.07642305789487255,0.009732409400392803,0.009727524996171738,0.009632409807480227,0.00417840190719484,0.004183358739386172,0.004174010657807347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,,,,,,,,,,,,,,,,0.15088256511590792,0.14874239894056188,0.12680723845879707,0.12680723845879707,0.12629714990162685,0.09439918549929835,0.09024152120363829,0.08604241645124057,0.011023915110199511,0.010992579557498149,,0.005627516314203786,0.00563396225883034,0.005632701974067246,0.01086961075533309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,0.1595029725136004,0.15724053174465852,0.13405214482456196,0.13405214482456196,0.1335129132635706,0.08379974165444525,0.08010891326414293,0.07638129748473034,0.009726264910636058,0.009700052576227726,,0.004110797513094797,0.004115167963891985,,0.009588427083747396,0.00410863037813008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,0.14992093267451687,0.14348003082043226,0.12673491276940546,0.12275649697362205,0.12106956760725544,0.09886180782855526,0.09450759432089476,0.09010998130243707,0.01158621045674603,0.011556172820519113,,0.005999830735089576,0.005999830735089577,,0.011420658305738577,,0.00599597264969792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,,,,0.16200912894367464,0.15504889410270428,0.13695360920079155,0.13265441184287527,0.1308314645575359,0.08304950251813432,0.07961975752115373,,0.009934465847979955,0.009910285056321704,,0.0043019319514109935,0.0043019319514109935,,0.009793525385603035,,0.0042991636288778065,0.07729192749152586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,,,,,,,,,,,,,,,0.16178768376344924,0.15445909870381833,0.13556938102039087,0.1310792619328358,0.13400601029156511,0.08164519952898179,0.080673151770531,,0.009838997395421194,0.009842544309263975,,0.004357839522246159,0.004357839522246158,0.004347996068170153,0.009697772234022566,,,0.0783372239370576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,0.020268710769389686,0.019799849152143643,,,,,,,,,,,,,,,,,,,,,0.0030024395774150923,0.0030024395774150923,0.002995656943549424,,,,,0.2261477561449691,0.19705507350152293,0.17652586963741967,0.14743359136205497,0.10403762160819154,0.02753129657620506,0.026777147917153653,0.026608940851717024,0.018813606380853144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
