threshold,CDC42,BEM1,BNI1,CDC24,CLA4,HOG1,FUS3,KSS1,RHO1,STE11,PBS2,RSR1,RGA1,GIC2,RDI1,SPA2,STE20,SHO1,ACT1,STE7,PTP2,BEM2,STE50,GIC1,SLT2,PTP3,GPA1,RHO3,STE12,BUD6,STE5,BOI2,BEM3
824,0.061596114361857315,0.05644401289565262,0.053808272465178726,0.052817365658022655,0.05057842789633137,0.04992145039669589,0.043905121151220645,0.04368727614210408,0.042050129000109675,0.04196066728727148,0.040748881443103,0.037600970323763167,0.035956503880409364,0.03569209133840163,0.03550117592468842,0.03479506563361386,0.03438327885461238,0.032470255812173464,0.03207214228666423,0.03167312024669013,0.030942407024724145,0.03093956101269973,0.030702512133741363,0.030655680688339394,0.029097516141931255,,,,,,,,
825,0.06158614096576685,0.05551453140938121,0.053116149687937986,0.05191216213654198,0.04968085128481564,0.05058075563987722,0.04464338686112232,0.044418872029254805,0.042660469672278836,0.04270572030780428,0.04122456744518012,0.03673950088121306,0.03536621206560634,0.03497149539445809,0.035260114820604045,0.03552148671334358,0.03368754673523146,0.03300962269223859,0.0323421188493715,0.03226533376947972,0.03136867629075671,0.03070559074798777,0.031233234857074608,0.029961994721292996,0.029523464021380303,,,,,,,,
826,0.05966732588883901,0.05378488707404096,0.05146123078489736,0.05029475539824856,0.04813296461770165,0.05315496474669928,0.0469154251405718,0.0466794840633369,0.04133131426308551,0.04487914481953845,0.043322611564918796,0.035594822758762405,0.034264320960543694,0.033881902320865465,0.0341615293455117,0.03441475777739122,0.03263795714305025,0.034689583188521264,0.03123229672683052,0.03390741512973853,0.032965124013909296,0.02974890878108282,0.03282278955208606,0.029028480682184638,0.031026003257643785,,,,,,,,
827,0.05968730838840542,0.05297451870348989,0.0508530719736239,0.04947986630914673,0.04727036772436453,0.05399601359924927,0.0476577483585328,0.04741807408397148,0.04166346249454131,0.04558924882268789,0.04400808719113313,0.03500404699520665,0.03370743062020939,0.03326406570122825,0.034417143362269385,0.033845119398510363,0.03211418186017136,0.035238462004924864,0.031195758535853275,0.03444391802695048,0.03348671743153617,,0.033342130870847565,,0.03151691477575695,0.028984689121538662,0.028841653645850323,,,,,,
828,0.059622587797061574,0.05291707697476701,0.0507979305879818,0.04942621392820332,0.04721911116355176,0.05407751137157056,0.04772967960060367,0.04748964357860661,0.04161828565539602,0.04565805801753745,0.04407450989220173,0.034966091143583816,0.03367088072541058,0.03322799655921445,0.03437982390640993,0.03380842020397942,0.03207935956885629,0.03529164845262718,0.03104144462567308,0.03449590524604498,0.03353725991960349,,0.033392455130163944,,0.031564484182708505,0.029028436565791904,0.02888518520245086,,,,,,
829,0.06268646792649601,0.05266626746034117,0.05374448625379443,0.05071357313212648,0.04868705405925937,0.05232884135822681,0.04699485009063753,0.04680513614908165,0.04303626651882012,0.044871555567486746,0.04127684862852769,0.03569712518711063,0.03468237497583291,0.034011195851938285,0.03547173280301973,0.03653654238997578,0.0327303043207066,0.03118598519860836,0.032952943746490174,0.03487468271986159,0.0293409558994598,0.029000375898656672,0.03174524660316166,,0.029650434192101165,,,0.02830875306827874,,,,,
830,0.06118544735998589,0.05152247786853036,0.052567267449368106,0.0496248316220478,0.047655224945409,0.05453789417810939,0.04897648227536268,0.0488336313603176,0.04192618891467195,0.04606211791504935,0.042352360311096876,0.034937577794587046,0.033953697071617224,0.033329766353381654,0.034063433826403394,0.03574438657898559,0.03206200682068492,0.03201358965310476,0.03154581739072203,0.035848447745242096,0.03015474294471723,,0.032600293492640396,,0.03044455498605065,,0.02894537906650948,,0.02911238207540464,,,,
831,0.06088249880437104,0.051276021006050415,0.052120897252923515,0.049430354790428344,0.0474196159473836,0.0539620827855072,0.048550050401976214,0.04950657544528401,0.041764229026105264,0.044758082758064775,0.04355596885391315,0.03479987924479827,0.03381975924193819,0.03319044818317573,0.033928446311320484,0.03551867661811614,0.03193282196469024,0.03298761730364472,0.03127857326446027,0.03609588784894368,0.030929129848149953,,0.0332393837917651,,0.030994183109925005,,0.028947464797270676,,0.029111351399793987,,,,
832,0.06347536601719214,0.052501343831145075,0.05366935592370596,0.048718816056936565,0.04855391883724403,0.052088651512121255,0.047023974038223566,0.047095543392934446,0.044226918358909344,0.04339369034016068,0.04227038771943621,0.03567281663358994,0.034555950829478,0.033988745461334215,0.03508071462552326,0.03636075835658609,0.03282234105352873,0.032004943517406445,0.03309768906145583,0.03495366546822133,0.029958655817185004,,0.0322536039079196,,0.029773613331718598,,,0.028260007657248374,0.02819852825079533,,,,
833,0.0636029348110523,0.05339479819022281,0.054592087516696315,0.0471946354946107,0.04934020662654193,0.05214648103762615,0.047236533541709765,0.04729972254754668,0.0437232184630983,0.04347871391720192,0.04121691696481168,0.03652759324582061,0.03517984883487744,0.03450787575056472,0.035663107694172774,0.03331309425653076,0.03350107192887178,0.031716670074165794,0.03220124166033839,0.03517569782305781,0.029943707913178304,,0.03202724638459653,,0.029836945280080605,,,0.02875292408805385,0.028426725954571994,,,,
834,0.0636125194742284,0.05340284453521506,0.05460031428755968,0.04720174750424168,0.049347641963652704,0.05111063853422223,0.047641422918002274,0.04761452264395377,0.043729807346507346,0.04344440506014657,0.04106706371735978,0.03653309778234766,0.03518515027265968,0.03451307592516319,0.03566848195679252,0.03331811438317666,0.03350612038286892,0.031473493874374966,0.032331429805933606,0.0354198058754417,0.03005113892439374,,0.03186305325022608,,0.029949613631092116,,,0.028757257018500078,0.02865723893193968,,,,
835,0.0637811979837904,0.05354243394054043,0.05474850181447072,0.04732551729689192,0.04947796145900719,0.05108535393668751,0.047617854552608925,0.04759096758621265,0.04350998543945759,0.04342291297300809,0.041046747708642126,0.03664832389820783,0.03526864839310456,0.03462166343156354,0.03574677479714443,0.03340008567763606,0.033588796408132414,0.03145792383556412,0.03144373121762177,0.03540228358337097,0.030036272529158744,,0.031847290495137036,,0.02993479746074678,,,0.02881091147777287,0.02864306210352137,,,,
836,0.06368610855255397,0.053547998518281736,0.054620609565762195,0.04736061764623971,0.04938989455598509,0.05101319723025928,0.0475540163261869,0.04759909173927832,0.043421075593328785,0.04383759847875673,0.04087503887195396,0.0366813521759941,0.03528229444550325,0.034634677623739576,0.0357360534952787,0.03316530377474666,0.033610013591867376,0.03163943212652757,0.031504437946745754,0.03574726928288676,0.029737997488775533,,0.03209589583270634,,0.029577203864684983,,,0.02871658170214544,0.02896623956981137,,,,
837,0.06391456035231621,0.053738745384434135,0.054815589548680585,0.04752867968705388,0.04956403224826612,0.05077653849261185,0.04733340530619884,0.04737827160692442,0.043586815089456714,0.043634228541549115,0.04068541274330606,0.036810374926144376,0.03540764026315972,0.03475567216237757,0.03587519165459658,0.033282790829987564,0.0337282231579151,0.03149265151928299,0.0314588029985401,0.03558143173334748,0.029600037954224313,,0.031946997614130744,,0.029439990278597405,,,0.028832055557821392,0.028831860349076744,,,,
838,0.0635218695740859,0.0545454813673495,0.05519535470531894,0.04700675103623232,0.0502696162262257,0.05008720662149228,0.04694219407596581,0.04697237124445297,0.0439839940367673,0.043296985655579136,0.04022057214963416,0.03731869363590185,0.03591154192485712,0.034919465338242806,0.036423592014193,0.0333861666631531,0.03415963009968075,0.031216917837483184,0.0313211784211592,0.035323949962791076,0.029278478196194193,,0.031687088578841525,,0.029141905316266592,,,0.029242085716556395,0.0286269096015751,,,,
