,threshold,PDX1,PDB1,IRC15,HSP82,HSC82,PGI1,AHA1,TAL1,TKL1,SOL4,GAD1,PGM2,MAE1,PTC5,RPS8B,RPS8A,RPS20,YTM1,NOP7,RPF2,AIM22,MLS1,ACS1,ACS2,RPS3,RPS5,RPL5,PKP1,NOP14,KGD2,PWP2,LPD1,NQM1,TKL2,RPS13,TPI1,LSC1,ASC1,KGD1,HSP104,HSP78,BTN2,TFS1,CIT3,IDH2,CYT1,QCR2,RIP1,MRPS28,MRP17,MRPS9,IDH1,ATP2,ATP4,ATP18,ACO1,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,GPM1,RPT1
0,800,0.2619877401243107,0.2619877401243107,0.2619877401243107,0.028971682391835354,0.028388533419575812,0.026508738990403877,0.02580726392761229,0.02578442709587135,0.02562486535768814,0.01780724349629335,0.017626763463481188,0.01751726148430655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,805,0.19999340967952714,0.23154684873052947,0.19999340967952714,,,0.03258010378938637,,0.03169060710815529,0.03149286336586057,,,,0.14374732181306835,0.10939331902924977,0.0039073128858560366,0.0039031631843452637,0.0039011055102849755,0.0026316407885349055,0.0026245485029529818,0.002594345932721699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,810,0.19417757418263734,0.2167595958116495,0.16217621350638275,,,0.029054952441942204,,0.02774994459946232,0.027595247086536528,,,,0.11444086370515419,,,,,,,,0.16217621350638275,0.01972401801998977,0.01926008232753196,0.01828422068728627,0.002872339438659992,0.0028710602617815395,0.0028576744246029467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,815,0.20030138262659208,0.23190341130677344,0.20030138262659208,,,0.033177562970581526,,0.03175126562967397,0.0315725612837953,,,,0.1439686805388504,,,,,0.0021158232260958016,0.0021428274081118142,,,,,,0.003714543644973379,0.0036981975736681966,0.003688070837771793,0.10956177549441351,0.00210251483210664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,820,0.1835922640901131,0.19754154259935477,0.1571765214907375,,,0.03488954635736596,,0.03340869952477362,0.03322139824450554,,,,,,,,,0.0024198949408155697,0.002455628742521234,,0.1571765214907375,,,,0.0040645466084793,0.00404945366312066,0.004014168304817036,,,0.18359226409011314,0.0023975498525451527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,825,0.1657877215577617,0.20948628137357153,,,,0.046789660458025475,,,,,,,,,,,,0.0033595912236178017,0.003405258394832248,,0.14850851031514967,,,,0.004414247596953003,0.004397599852030475,0.0043749278896618405,,,0.1657877215577617,0.003326183417671794,0.14850851031514967,0.04601247631972185,0.045841309728091195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,830,0.17768594005255708,0.18794452215508184,,,,0.038940408000054064,,0.037897087702184536,,,,,,,0.005198214781126371,0.005199772780721764,,0.00317191013693158,0.0032165314565437923,,0.15838796962621515,,,,,,,,,0.17768594005255708,0.003138392007744427,0.15838796962621515,0.037961147409621546,,0.005184194212445715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,835,0.1766561872599917,0.18685424992678262,,,,0.040429003655932924,,0.03933930846229309,,,,,,,0.0053321688177112424,0.005333630427537036,,0.0032402657690657577,0.003284697254531813,,0.15746798064257328,,,,,,,,,0.1766561872599917,0.0031959275589663752,0.15746798064257328,0.0394252991815727,,0.005317113140476494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,840,0.1762633875242549,0.18643713798112535,,,,0.04153247211433644,,,,,,,,,0.005425118525794638,0.005427106697578101,,0.0033336391524003495,0.0033574013755586084,0.00328394093065546,0.15711462591877795,,,,,,,,,0.1762633875242549,,0.15711462591877795,0.03961853749759721,,0.005409202432366489,0.039419416406521676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,845,0.16612644055593764,0.187395706641584,,,,0.04673834828507666,,,,,,,,,0.005920985955703387,0.005920985955703386,,0.004479364857320381,0.004504449683214503,0.0044001431828738415,,,,,,,,,,0.172535458944455,,0.15834711281408098,0.045738353086133776,0.04543124649878608,,,0.14655234547842896,0.0059090580607014925,,,,,,,,,,,,,,,,,,,,,,,,,,
