,threshold,YLR255C,YKL031W,BRP1,URA3,NAB2,ACT1,PGK1,RPA190,YCR013C,YBL071C,YPR136C,YLR163W-A,YKL165C-A,YMR173W-A,YHR056W-A,YPL025C,YAL016C-B,YIL054W,PUF3,YLR339C,Q0010,Q0032,Q0297,UTR5,NOP1,RPA135,Q0182,Q0142,RPS3,MRT4,Q0143,YHR214C-E,YAL059C-A,YDL247W-A,ARX1,ISW1,CDC6,POL1,YGL165C,YDL011C,YNL043C,RPS5,YGL052W,PRM8,MST27,YGL024W,YHL002C-A,THI12,YLR154W-B,YAL064W-B,YPL142C,YHR063W-A,YDL228C,TTI1,YMR242W-A,YER175W-A,CAB1,YML116W-A,NAB6,YBL094C,YKL118W,UCC1,AIM26,YOR345C,YGL182C,ARL3,YPR053C,YGR242W,YER066C-A,MOH1,YKR041W,YKR040C,RPL3,YDR274C,YGL039W,YHR130C,CET1,ESL2,YIL024C,RLP7,YLR123C,YBR131C-A,YLL066W-B,YRF1-8,YOR394C-A,YLR466C-A,YIR040C,YDR215C,YPR027C,YHR214C-D,YPL278C,YDR543C,YBL109W,YHR217C,ERC1,YHR032W-A,TPI1,MDH2,PGI1,ZWF1,MDH1,IMP3,ARF1,YPT31,HHT1,HHT2,MRPS16,MRPS5,CDC42,NSA2,CDC19,OXA1,COX18,RPL5,ASC1,RPS16B,RHO1,RPS16A,BNI1,RPS13,FUM1,CYT1,RPS2,PWP2,YTM1,PUF6,RIP1,COX6,MRPL4,NOP7,RPS20,QCR2,QCR7,ACO1,PGM2,GLK1,HXK1,SOL4,ATP1,NQM1,COX4,ALD3,CIT3,CIT1,CIT2,IDH1,KGD1,QCR9,ATP16,MRPS9,QCR6,MRPL9,RPS8B,LSC1,ATP4,RSM23,RSM10,RPS8A,PDB1,VMA8,VMA10,IRC15,PDX1,HSP82,HSC82,TAL1,SSE1,GAD1,MSC1,AHA1,TKL1,AIM22,MAE1,MLS1,ACS1,ACS2,KGD2,LPD1,RPF2,TKL2,HSP104,SIS1,BTN2,TFS1,IDH2,MRPS28,MRP17,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,RPT1
10,200,0.1369435323190772,,0.19677185073211653,,0.09361818331809425,,,,0.035163558683093024,0.03368641576374309,,,,,0.03349344224242638,0.13119866601877814,,,0.08692758737566474,,,0.0,,,0.08501621494989296,0.08318966384305813,,0.0,,0.08399088475405558,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,210,,,,,0.21585016656221243,,,,,,,,,,,,,,0.20104985705374998,,0.0,0.0,,,0.1963466212446423,,,,0.1913214249528045,0.19543193018659072,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,220,,,,,0.2120894955418943,,,,,,,,,,,,,,0.1999154013163454,,,0.0,,,0.19795816727924787,,,0.0,,0.1976704328502212,0.0,,,,0.19236650301229122,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,230,,,,,0.21098709249048878,,,,,,,,,,,,,,0.19896083230601425,,0.0,0.0,,,0.19774798992182513,,,0.0,,0.2002878298926259,,,,,0.19201625538904593,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,240,,,,,0.21093027576001172,,,,,,,,,,,,,,0.1995943990869811,,,,,,0.19861318968799477,,,,,0.1996730920913733,,,,,,,,,,,,0.19118904337363915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,250,,,,,0.1583243320006638,,,,,,,,,,,,,,0.15084512058932767,,,,,,0.14960166657785257,,,,,0.1505178757521099,,,,,,,,,,,,0.14512725410076194,,,,,,,,,0.08889450244738509,0.0822129779502046,0.07447627058169459,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,260,,,,,0.15873042245746058,,,,,,,,,,,,,,0.15113199128884125,,,,,,0.1484372722278486,,,,,0.14874928687981473,,,,,,,,,,,,0.14381934620703948,,,,,,,,,0.08773057165095187,0.0845273582029522,0.07687375108509142,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,270,,,,,0.21044820937565675,,,,,,,,,,,,,,0.20144510898418472,,,,,,0.19769713632663188,,,,,0.1987527172501705,,,,,,,,,,,,0.19165682806335618,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,280,,,,,0.20878542818573892,,,,,,,,,,,,,,0.20160649486648996,,,,,,0.19745702318335093,,,,,0.20019896308886784,,,,,,,,,,,,0.19195209067555227,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,290,,,,,0.1962260005047416,,,,,,,,,,,,,,,,,,,,0.20129649060423419,,,,,0.2070559286347775,,,,,,,,,,,,0.19846524636246393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19695633389378278,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,300,,,,,,,,,,,,,,,,,,,,,,,,,0.20023711247480888,,,,,0.2083618229824983,,,,,,,,,,,,0.1977757670587982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19676247417367554,,,,,,,0.19686282331021895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
