,threshold,PTC6,PTC5,UTH1,PDA1,PDB1,IRC15,PDX1,MAE1,AIM22,KGD2,PKP2,HUL4,LPD1,PYC2,PYC1,SIP5,NCE103,LSC1,YMR31,KGD1,PTC7
0,800,0.43188168883424866,0.36910206094340003,0.19901625022235134,,,,,,,,,,,,,,,,,,
1,805,,0.09396061406859255,,0.24013146272924327,0.19888128713373096,0.17177926174938954,0.17177926174938954,0.12346811256965406,,,,,,,,,,,,,
2,810,,0.06874362816885837,,0.21088971892360464,0.18375990003883527,0.1374863459724539,0.16461578777158464,0.09701827315220936,0.1374863459724539,,,,,,,,,,,,
3,815,,0.09396061406859255,,0.24013146272924327,0.19888128713373096,0.17177926174938954,0.17177926174938954,0.12346811256965406,,,,,,,,,,,,,
4,820,,,,0.1718507804755326,0.15914404366441814,0.1266250474204052,0.14790618169902756,0.06686632396116426,0.1266250474204052,0.14790618169902756,0.037802535879099625,0.01527385778091991,,,,,,,,,
5,825,0.03483444777257277,0.03405658755941227,0.005608801361329176,0.14262605692707295,0.12834899684119414,0.07633882514674252,0.10157556671971371,0.06435247573178424,0.09098886187844801,0.10157556671971373,,,0.09098886187844801,0.06435247573178424,0.06435247573178424,,,,,,
6,830,0.03345175044613778,0.03738054461372405,0.005777694482115814,0.150523855859796,0.13136541064814397,0.09158616818507956,0.12419508807043204,0.048686027359440186,0.11070660870075753,0.12419508807043204,0.026796921667868477,0.0046282331953150365,0.11070660870075753,,,,,,,,
7,835,0.03362144703253174,0.03757058867424908,0.005808085358769967,0.1512494640982331,0.13210935157450474,0.09210052056408832,0.12489913587561738,0.048949048355525514,0.11133272496926624,0.12489913587561738,0.026127772652330374,,0.11133272496926624,,,,,,,,
8,840,0.032796770203966555,0.03762903021685793,,0.1521694065061456,0.1330864559515972,0.09277495520302607,0.12582401668277562,0.049291224518363104,0.112154847301979,0.12582401668277562,0.02629442703081911,,0.112154847301979,,,1.1998576642843319e-09,1.1998576642843319e-09,,,,
9,845,0.023117755737833538,0.02611909511370367,,0.12882857962850705,0.11693950796905789,0.06819776346554106,0.10366696530789889,0.057052724898311785,0.08294016619146495,0.1076663496606648,0.019220798557203562,,0.09881247437656349,0.04517980106597918,,,,0.09145225084978502,0.030805767177485094,,
10,850,0.025768272738392682,0.02929630210897929,,0.1331438023190203,0.11918493711051327,0.07060701970738437,0.09435273466917823,0.059379393293762704,0.08468570476912277,0.09841778987662933,0.021120917806194354,,0.08875075997657388,0.059379393293762704,0.06261198623526329,0.011805059468529732,0.011805059468529732,,0.029690867158163447,,
11,855,0.021302376778361658,0.02400838365484834,,0.12238744775346429,0.11166345992137637,0.060465713047621036,0.08342713106588945,0.04848742850753978,0.07462867200658352,0.09806068058959702,0.017808847107665914,,0.09037986743675182,0.04848742850753978,0.050680130836875704,0.008630549924201345,0.008630549924201345,,0.04057146550073094,0.09037986743675182,
12,860,0.027200684834593328,0.031010507900450138,,0.13599163279638202,0.1209261708024135,0.07150230753483074,0.08385714688057642,0.06293964693832514,0.07221117907535876,0.09822427276339071,0.02214979397276146,,0.08820946600758166,0.06293964693832514,0.06656795019712533,0.012952090271424391,0.012952090271424391,,0.03036541281503696,,
13,865,,,,0.1425201029151594,0.1356717627686474,0.07965541369168182,0.09299609002802414,0.07115668710808992,0.07965541369168182,0.10442299632501784,0.023869344056511907,,0.09299609002802414,0.07115668710808992,0.07551550461062145,0.015191953834225091,0.015191953834225091,,,,
14,870,,,,0.1425201029151594,0.1356717627686474,0.07965541369168182,0.09299609002802414,0.07115668710808992,0.07965541369168182,0.10442299632501784,0.023869344056511907,,0.09299609002802414,0.07115668710808992,0.07551550461062145,0.015191953834225091,0.015191953834225091,,,,
15,875,,,,0.14748105015112456,0.1403451307010127,0.08298224017400296,0.09693196559259541,0.07289294230076351,0.08298224017400296,0.10887415811719059,0.02479242259518487,,0.09693196559259541,0.07289294230076351,0.07289294230076351,,,,,,
16,880,,,,0.14748105015112456,0.1403451307010127,0.08298224017400296,0.09693196559259541,0.07289294230076351,0.08298224017400296,0.10887415811719059,0.02479242259518487,,0.09693196559259541,0.07289294230076351,0.07289294230076351,,,,,,
17,885,,,,0.14748105015112456,0.1403451307010127,0.08298224017400296,0.09693196559259541,0.07289294230076351,0.08298224017400296,0.10887415811719059,0.02479242259518487,,0.09693196559259541,0.07289294230076351,0.07289294230076351,,,,,,
18,890,0.041859133006476194,0.041859133006476194,,0.1622299114629917,0.14391452894174933,0.1042553344720221,0.12091972381013714,0.07192963637732397,,0.12091972381013714,,,0.1042553344720221,0.07192963637732397,,,,,,,0.015927904263340183
19,895,0.041859133006476194,0.041859133006476194,,0.1622299114629917,0.14391452894174933,0.1042553344720221,0.12091972381013714,0.07192963637732397,,0.12091972381013714,,,0.1042553344720221,0.07192963637732397,,,,,,,0.015927904263340183
20,900,,,,0.1763663411850189,0.19013898690069153,0.11384268613687185,0.14737685697952183,0.11244913590918709,,0.14737685697952183,,,,0.11244913590918709,,,,,,,
