,threshold,PTC6,PKP1,UTH1,PDA1,PDB1,IRC15,PDX1,MAE1,AIM22,KGD2,LPD1,PYC1,PYC2,PKP2,HUL4,NCE103,SIP5,LSC1,YMR31,KGD1,KSS1,FUS3,HOG1,STE11,PBS2,STE7,GPA1,SHO1,SLT2,STE5,STE50,STE12,PTP2,STE4,SSK1,PTP3,MKK1,SKO1,PTC1,SKN7,MKK2,FAR1,SLN1,STE18,YPD1,TEC1,SSK2,ACA1,MSB2,SMK1,DIG1,MSG5,DIG2,HSF1,SSK22,PTC2,KDX1,RLM1,HKR1,MSN2,SMP1,OPY2,HMS2,MGA1,HOT1,FPS1,NBP2,RCK2,PTP1,ASK10,STL1,SDP1,SMI1,FKS1,AHK1,RGC1,PHD1,PTC7
0,800,0.43188168883424866,0.36910206094340003,0.1990162502223513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,805,,0.09396061406859256,,0.24013146272924327,0.19888128713373102,0.17177926174938957,0.17177926174938957,0.12346811256965408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,810,,0.06874362816885837,,0.21088971892360467,0.18375990003883527,0.13748634597245388,0.16461578777158464,0.09701827315220937,0.13748634597245388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,815,,0.09396061406859256,,0.24013146272924327,0.19888128713373102,0.17177926174938957,0.17177926174938957,0.12346811256965408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,820,0.5857863751051304,,0.4142136248948697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,825,0.03483444777257276,0.034056587559412266,0.005608801361329174,0.14262605692707295,0.12834899684119416,0.0763388251467425,0.10157556671971373,0.06435247573178422,0.090988861878448,0.10157556671971373,0.090988861878448,0.06435247573178422,0.06435247573178422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,830,0.033617374488427255,0.03261448833083169,0.005806300611914086,0.1512691193852022,0.13201581817655103,0.09203962342106309,0.12480999438308799,0.048927078322296966,0.11125473176746227,0.12480999438308799,0.11125473176746227,,,0.026929596772410243,0.004651148190202991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,835,0.03378878667075478,0.032780414433663065,0.005836993183640342,0.15200225830661848,0.1327668822000298,0.09255892045914448,0.12552078003601216,0.04919267606242492,0.11188684680407944,0.12552078003601216,0.11188684680407944,,,0.026257815003541022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,840,0.03295602227257828,0.03295602227257828,,0.1529082991658439,0.1337326870677311,0.09322544479207885,0.12643498339727685,0.04953056910687399,0.11269944030081988,0.12643498339727685,0.11269944030081988,,,0.02642210551475445,,1.2056838421027137e-09,1.2056838421027137e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,845,0.023187348840931862,0.023187348840931862,,0.12921640190354847,0.11729153968557261,0.06840306427578213,0.1039790417000184,0.057224474968297634,0.08318984715540508,0.10799046569758151,0.09910993693281996,,0.04531580918844588,0.01927866035965502,,,,0.09172755637659043,0.03089850407441913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,850,0.0258595058344856,0.0258595058344856,,0.1336152006713456,0.11960691381537915,0.0708570053032059,0.09468679245396246,0.059589627248879055,0.08498553623704211,0.09876624007242729,0.08906498385550692,0.06283366525173302,0.059589627248879055,0.021195696847201333,,0.011846855522763136,0.011846855522763136,,0.02979598827994073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
