0,1
w0,1
w1,42
w2,5
w3,41
w4,5
w5,43
w6,5
w7,7
w8,28
w9,11
w10,13
w11,17
w12,19
w13,1
w14,15
w15,2
w16,7
w17,4
w18,6
w19,17
w20,20
w21,10
w22,1
w23,48
w24,10
w25,28
w26,35
w27,57
w28,21
w29,1
w30,18
w31,23
w32,17
w33,10
w34,19
w35,9
w36,54
w37,59
w38,14
w39,7
w40,49
w41,7
w42,12
w43,1
w44,12
w45,19
w46,11
w47,15
w48,5
w49,33
w50,52
w51,21
w52,19
w53,4
w54,33
w55,4
w56,9
w57,16
w58,21
w59,37
w60,20
w61,11
w62,37
w63,16
w64,21
w65,25
w66,30
w67,2
w68,1
w69,14
w70,0
w71,0
w72,20
w73,27
w74,16
w75,5
w76,15
w77,10
w78,7
w79,8
w80,11
w81,5
w82,15
w83,35
w84,5
w85,19
w86,11
w87,15
w88,8
w89,7
w90,15
w91,5
w92,11
w93,12
w94,2
w95,4
w96,21
w97,15
w98,3
w99,14
w100,5
w101,51
w102,71
w103,16
w104,8
w105,9
w106,13
w107,10
w108,4
w109,5
w110,20
w111,20
w112,6
w113,4
w114,6
w115,13
w116,15
w117,12
w118,3
w119,0
w120,24
w121,12
w122,17
w123,15
w124,11
w125,8
w126,12
w127,1
w128,0
w129,25
w130,4
w131,31
w132,5
w133,9
w134,12
w135,10
w136,21
w137,10
w138,19
w139,12
w140,22
w141,7
w142,7
w143,7
w144,6
w145,10
w146,2
w147,7
w148,13
w149,5
w150,3
w151,2
w152,3
w153,2
w154,14
w155,8
w156,6
w157,17
w158,3
w159,24
w160,11
w161,0
w162,10
w163,1
w164,8
w165,39
w166,12
w167,2
w168,1
w169,1
w170,0
w171,10
w172,0
w173,1
w174,2
w175,11
w176,9
w177,9
w178,17
w179,9
w180,8
w181,12
w182,25
w183,7
w184,9
w185,8
w186,10
w187,10
w188,8
w189,13
w190,1
w191,3
w192,10
w193,8
w194,0
w195,6
w196,8
w197,10
w198,3
w199,5
w200,11
w201,22
w202,6
w203,18
w204,9
w205,7
w206,2
w207,8
w208,0
w209,13
w210,3
